date,id,fullBody,firstSentence,title
1993-11-28 00:00:00,13424,"Marian Bruce Logan, a civil rights advocate, former New York City Commissioner of Human Rights and a cabaret singer in her youth, died on Thursday at St. Luke's-Roosevelt Medical Center. She was 73.

 The cause was emphysema, her son, Warren Arthur Logan, said.

 Mrs. Logan was an associate of Dr. Martin Luther King Jr. and a campaign aide for several political figures, including Nelson A. Rockefeller, Robert F. Kennedy and Robert F. Wagner.

 Mayor Abraham D. Beame appointed Mrs. Logan to head the Commission on Human Rights in 1977. During her two-year tenure she worked to stop the practice of redlining, by which banks and savings and loan institutions refuse to make mortgage loans to residents of certain areas.

 Efforts on West Side

 Along with her husband, Dr. Arthur C. Logan, a surgeon, she was involved in efforts to stabilize the West Side as an integrated community during urban-renewal efforts there.

 Mrs. Logan was a socially prominent fund-raiser who generated financial backing for both national and local civil-rights issues and causes, particularly those of the Southern Christian Leadership Conference.

 Mrs. Logan was at one time the only Northern board member of the Southern Christian Leadership Conference. She also raised money for the Congress of Racial Equality and the Urban League.

 In 1971 the Citizens Union presented Dr. and Mrs. Logan with awards for outstanding public service for their prominence in campaigning for civil rights and better public health.

 During her career in show business she sang using the stage name Marian Bruce. In the 1940's and 1950's she starred in the first all-black show to be presented in a Miami Beach nightclub. She also sang in Europe.

 Mrs. Logan's husband died previously. She is survived by her son, who lives in Manhattan, and a sister, Esther Harris of Philadelphia.","Marian Bruce Logan, a civil rights advocate, former New York City Commissioner of Human Rights and a cabaret singer in her youth, died on Thursday at St. Luke's-Roosevelt Medical Center.","November 28, 1993, Sunday, Late Edition - Final  Marian Logan, 73, A Civil Rights Aide And Cabaret Singer"
1993-06-02 00:00:00,8999,"Margaret Bush Clement, an aunt of former President George Bush, died on Saturday at the Connecticut Hospice in Branford. She was 93 and lived in Hamden, Conn.

 She died of cancer, a spokesman for the Hawley Lincoln Funeral Home in Guilford, Conn., said.

 Mrs. Clement was the daughter of Samuel Prescott and Flora Sheldon Bush, President Bush's grandparents. In 1911 she married Stuart Holmes Clement of Buffalo and moved to New Haven, where she served with numerous civic organizations, including the Red Cross, the United Way, the Women's Auxiliary of New Haven Hospital and the New Haven Tuberculosis Association.

 Mrs. Clement served as trustee of the Westover School in Middlebury, Conn.

 She is survived by two sons, Stuart Holmes Clement Jr. of Saybrook, Conn., and Samuel Prescott Bush Clement of Litchfield, Conn.; a daughter, Mary Bush Clement Estabrook of North Haven, Conn.; 12 grandchildren, and 14 great-granchildren.","Margaret Bush Clement, an aunt of former President George Bush, died on Saturday at the Connecticut Hospice in Branford.","June 2, 1993, Wednesday, Late Edition - Final  Margaret Bush Clement; Bush's Aunt, 93"
1993-04-20 00:00:00,48848,"Barbara Stoler Miller, chairwoman of the Asian and Middle Eastern Cultures Department at Barnard College, died at Columbia-Presbyterian Medical Center yesterday. She was 52 and lived in Manhattan.

 The cause of death was cancer, said Beverly Solochek, spokeswoman for the college.

 A member of the Barnard faculty since 1968, she was the Samuel R. Milbank Professor of Asian and Middle Eastern Culture. Professor Miller was best known for translations of Sanskrit literature, including ""The Bhagavad-Gita: Krishna's Counsel in Time of War"" (Bantam Books and Columbia University Press, 1986).

 She was also an adviser to Peter Brooks on ""The Mahabharata,"" performed at the Brooklyn Academy of Music in 1987 and broadcast on public television.

 Her first marriage, to Dr. James Robert Miller, ended in divorce.

 Surviving are her husband, Max Greenwood; a daughter, Gwenn Miller; her mother, Sarah Stoler of Stowe, Vt.; a brother, Will Stoler, of Montpelier, Vt., and her sister, Ann Stoler of Ann Arbor, Mich.","Barbara Stoler Miller, chairwoman of the Asian and Middle Eastern Cultures Department at Barnard College, died at Columbia-Presbyterian Medical Center yesterday.","April 20, 1993, Tuesday, Late Edition - Final  Barbara Stoler Miller; Professor, 52"
1994-07-21 00:00:00,33923,"E. Frederic Morrow, a retired banker, author and executive assistant to President Dwight D. Eisenhower, died on Tuesday at Mount Sinai Hospital. He was 88 and lived in Manhattan.

 The cause was complications from a stroke, his family said.

 Mr. Morrow was the first black to reach an executive position at the White House and the first black vice president at the Bank of America, then the world's largest privately owned bank.

 As described in his writings, he traversed a ""jungle of racial barriers"" to get there.

 The son of a Methodist minister, Everett Frederic Morrow was born in Hackensack, N.J., and earned his bachelor and Doctor of Laws degrees at Rutgers University.

 In Commerce Department

 Before World War II, he was a field secretary for the National Association for the Advancement of Colored People. He joined the United States Army Field Artillery as a private in 1942 and left as a major in 1946.

 After the war, he was a public-affairs writer for the Columbia Broadcasting System. In 1952, he boarded General Eisenhower's Presidential campaign train as a personal adviser and administrative assistant.

 He was an executive in the Commerce Department in 1955 when the President appointed him Administrative Officer for Special Projects. That made him the first black to serve as a Presidential Executive Assistant. He also worked as a speechwriter.

 Mr. Morrow publicly urged the White House and the Republican Party to champion racial integration and equal rights all the way down to the district level, and to respond to black pressure for first-class citizenship. He held that the party's failure to do so was responsible for its ""ignominious defeat"" in the Congressional elections in 1958, and he called on its leadership to do some ""soul-searching.""

 How he himself was engulfed by questions of race and color was evident in ""Black Man in the White House"" (1963), his account of the Eisenhower years and the social and professional snubs he encountered. A review in The New York Times said the book made the reader squirm and must have caused many party leaders to wish he had kept his diary ""personal and private.""

 Leaving the White House in 1960, Mr. Morrow scouted the private sector but instead became a vice president of the African-American Institute in New York. ""It still shocks many captains of industry,"" he said at the time, ""when a Negro seeks a job on the executive level even though he dealt with them directly as part of his official White House assignment.""

 The Bank of America made him an assistant vice president at its international subsidiary on Wall Street in 1964. His responsibilities included foreign loans and business development, and he retired as a senior vice president in 1975. After that he worked as an executive associate at the Educational Testing Service in Princeton, N.J.

 He is survived by his wife of 37 years, Catherine Gordon Morrow; a sister, Nellie Parker of Baltimore, and a brother, Dr. John H. Morrow of Huntington Beach, Calif.","E. Frederic Morrow, a retired banker, author and executive assistant to President Dwight D. Eisenhower, died on Tuesday at Mount Sinai Hospital.","July 21, 1994, Thursday, Late Edition - Final  E. Frederic Morrow, 88, Aide In Eisenhower Administration"
1994-01-15 00:00:00,41916,"Samuel Bronston, a Hollywood film producer whose credits include the historical epics ""El Cid,"" ""King of Kings"" and ""Fall of the Roman Empire,"" died on Wednesday at Mercy Hospital in Sacramento, Calif. He was 85.

 The cause was pneumonia secondary to Alzheimer's disease, said his daughter Irene Bronston.

 Over a period of about 25 years Mr. Bronston either produced or had a role in producing about a dozen films. Perhaps his most famous production was ""El Cid,"" a 1961 epic about the Spanish hero, which starred Charlton Heston and Sophia Loren. The three-hour film received mixed reviews, but it won Mr. Bronston several awards.

 Mr. Bronston was born in Russia and brought up in France, where he first became interested in photography and film production. He moved to the United States in 1937 at the age of 29.

 Among the other films in which he was involved were ""The Adventures of Martin Eden"" (1942), ""Jack London"" (1943), ""City Without Men"" (1943), ""And Then There Were None"" (1945), ""Walk in the Sun"" (1945), ""John Paul Jones"" (1959), ""55 Days at Peking"" (1963) and ""Circus World"" (1964).

 He then made several documentaries.

 In the late 1940's, Mr. Bronston became the official photographer of the Vatican and produced several films on behalf of the Chancellery of the Vatican. He retired in 1985.

 Mr. Bronston's marriage ended in divorce.

 In addition to his daughter Irene, of Berkeley, Calif., he is survived by two sons, Dr. William Bronston of Sacramento and Philip Bronston of San Antonio; two other daughters, Andrea Bronston of Madrid and Kira Bronston of Austin, Tex., and 10 grandchildren.","Samuel Bronston, a Hollywood film producer whose credits include the historical epics ""El Cid,"" ""King of Kings"" and ""Fall of the Roman Empire,"" died on Wednesday at Mercy Hospital in Sacramento, Calif.","January 15, 1994, Saturday, Late Edition - Final  Samuel Bronston, Film Producer, 85; Made Epic 'El Cid'"
1994-05-28 00:00:00,13222,"George W. Ball, who as Under Secretary of State in the Kennedy and Johnson Administrations argued forcefully but unsuccessfully against United States involvement in the Vietnam War, died Thursday night in New York Hospital. He was 84 years old and lived in Princeton, N.J.

 The cause of death was not immediately determined, but his son, Douglas, said that Mr. Ball had entered the hospital on Wednesday and that his doctors had made a diagnosis of terminal abdominal cancer.

 Mr. Ball's opposition to the Vietnam War was based on his belief that Europe, not Southeast Asia, was the central political arena and that the key to East-West rapprochement and world peace lay in a strong, unified Western Europe.

 Mr. Ball, who also served as United States delegate to the United Nations in 1968, retired in 1982 as senior managing director of the New York investment banking firm of Lehman Brothers Kuhn Loeb.

 Career Began in New Deal

 In a career that began in the New Deal and spanned half a century, Mr. Ball was a lawyer, economist, author, investment banker, high Government official, diplomatic troubleshooter and adviser to Presidents. He never ran for elective office and rose no higher than Under Secretary, the No. 2 post in the State Department, which he held from 1961 to 1966. But he was an influential and often dissenting voice in the making of American foreign policy in the 1960's.

 Mr. Ball was a leading exponent of European economic and political unity and of aid to underdeveloped nations; a mediator of crises in Cyprus, Pakistan, the Congo and elsewhere and a member of President Kennedy's inner circle in the 1962 Cuban missile crisis.

 But he was perhaps best known as an early and consistent opponent of American involvement in Vietnam: a devil's advocate who challenged the basic assumptions about the war, yet never lost his influence within the Kennedy and Johnson Administrations.

 As early as 1961, when most Americans had no inkling of where Vietnam was, let alone what was going on there, Mr. Ball was urging President Kennedy not to send American servicemen, warning that hundreds of thousands of troops might ultimately have to go.

 The Vietnamese Detour

 Later, when the Johnson Administration built up American involvement in the war, he argued against ""the Vietnamese detour with its deep ruts and treacherous quicksands."" Later on, he did not favor unilateral American withdrawal, but sought reduced involvement and a political settlement with the Communists.

 ""By a series of small steps, taken in good faith over a period of years,"" he said as the conflict swelled, ""we have mired ourselves in a frustrating war that turns our otherwise sensible countrymen into placard-carrying hysterics and impedes our coming to grips with fundamental problems in our cities, our society and the world.""

 His opposition was not founded on pacifism, morality or other principles espoused by antiwar demonstrators. Indeed, he found it ""stupid and unattractive"" that antiwar protesters engaged ""in self-flagellation, declaring in sanctimonious tones that American policy is thoroughly in the wrong and that we as a nation are as brutal and viciously ambitious as the other side.""

 His dissenting views stemmed rather from his belief that Southeast Asia was peripheral to American interests, diverting attention from the main arena, which he said lay in Europe.

 Focus on Europe

 This theme -- that a united Western Europe was the key to American foreign policy because it would strengthen the Atlantic alliance and provide a cushion between the United States and the Soviet Union -- was, in fact, the touchstone of Mr. Ball's vision of global politics.

 In this vision, the United States, a unified Europe and the Soviet Union would come finally to an East-West rapprochement, and these stronger nations of the northern half of the world, working together, would help the poorer peoples of the Southern Hemisphere, ultimately bringing peace and plenty to the planet.

 With Europe and its problems as his immediate focus, Mr. Ball thus concluded that the whole Asian mainland, not merely Vietnam, was peripheral to American interests and that fighting there constituted an enormous waste of human and national resources.

 Communist China, he contended, was overrated as a menace, and its existence should be accepted forthrightly. He favored trade with China, United Nations membership for Beijing and abandonment of the ""myth"" that Chinese Nationalists on Taiwan represented China.

 Views Did Not Prevail

 Mr. Ball's views, for the most part, did not prevail while he was in office, though by the end of the Johnson years many top policy makers believed, as he had, that the Vietnam War could not be won. For most of his tenure, however, Mr. Ball was regarded in the Government as a kind of loyal oppositon.

 ""I've become,"" as he once said, ""a champion of lost causes.""

 Detractors contended he was being used by Secretary of State Dean Rusk and President Johnson as a sophisticated yes man who could be relied upon to raise cogent objections and then be overruled, so critics could not say dissenting views were unheard in policy-making circles. But Mr. Ball's admirers called him a team player in the best sense and said his views were valued and had a moderating influence.

 When he resigned as Under Secretary in 1966 to return to private life, Mr. Ball left on friendly terms and silenced his criticism of the war during the remaining Johnson years. It was not until after President Nixon took office that he attacked America's Vietnam policy publicly again.

 He was called back several times in the Johnson Administration, serving on a Presidential advisory group that urged an end to a further buildup of the Vietnam War and providing counsel when North Korea captured an American intelligence ship, the Pueblo, in January 1968.

 Author and Counsel

 In May 1968, President Johnson named Mr. Ball as the United States delegate to the United Nations after Arthur J. Goldberg, another opponent of the Vietnam War, resigned, apparently in frustration over his diminishing influence.

 Mr. Ball returned to work as an investment banker when President Nixon entered the White House in 1969, but was called back by President Carter for counsel on crises in Iran and the Persian Gulf and on the Panama Canal Treaties. He also continued to write articles and books, occasionally stirring controversy with his views on Israel, the Middle East and other subjects.

 Mr. Ball was the author of five books, ""The Discipline of Power: Essentials of a Modern World Structure,"" published in 1968; ""Diplomacy for a Crowded World,"" in 1976; ""The Past Has Another Pattern,"" a memoir, in 1982; ""Error and Betrayal in Lebanon,"" in 1983, and ""The Passionate Attachment,"" a history of American-Israeli relations, written with his son, Douglas, in 1992. At his death, he was working on a book about America at the end of the 20th Century.

 Tall, burly, with white wavy hair, a cleft chin and gray eyes behind dark- rimmed spectacles, Mr. Ball was a forceful speaker whose style, in writing too, struck an academic tone with literary flourishes. His sentences often began ponderously but wound up with stingers in the tail. In a memo to President Kennedy, for example, he wrote: ""Whenever we extend the hand of friendship to President de Gaulle, he puts into it a dead fish.""

 Native of Iowa

 George Wildman Ball was born on Dec. 21, 1909, in Des Moines, the third son of Amos and Edna Wildman Ball. His mother was a teacher and his father was a Scottish immigrant who became a vice president of Standard Oil of Indiana.

 The family moved to Evanston, Ill., when George was 11, and he later enrolled at Northwestern University. He majored in English, founded a literary magazine, graduated in 1930 and earned his law degree from Northwestern in 1933.

 Eager to become a part of the New Deal, he went to Washington and worked in the Farm Credit Bureau and in the Treasury Department. But his enthusiasm soon paled and he returned to Chicago in 1935 to join a tax law firm, one of whose partners was Adlai E. Stevenson. The two became close friends, and Mr. Stevenson, who went to Washington in 1941, helped place Mr. Ball in 1942 as a lawyer with the Lend-Lease Administration.

 In London in 1944-45, Mr. Ball was director of the United States Strategic Bombing Survey, appraising the effects of the air war against Germany. It was in this capacity that he met and became close to Jean Monnet, who was to become known after the war as the architect of the European unification movement.

 Captivated by Mr. Monnet's vision of Europe as a unified political-economic entity that could be a bulwark of Western strength, Mr. Ball after the war supported the unification cause, in effect becoming its Washington representative.

 Lobbied for Common Market

 He became a founding partner of the law firm of Cleary, Gottlieb, Steen & Ball, which represented the Common Market and the European Coal and Steel Community, and he pushed the first abortive efforts of British entry into the Common Market.

 It was a short step into the political arena after Mr. Stevenson, then Governor of Illinois, joined the race for President in 1952. Then, and again in 1956, Mr. Ball was chief of volunteers in the Stevenson Presidential campaigns. In 1960, he backed John F. Kennedy.

 When the Kennedy Administration took office, Mr. Ball was named Under Secretary of State for Economic Affairs. But less than a year later, when Chester Bowles resigned in November 1961, Mr. Ball was named Under Secretary of State.

 Mr. Ball became an Administration trouble-shooter, shuttling between Athens, Ankara and Nicosia to mediate crises over Cyprus, and dashing off to Pakistan, the Congo, the Dominican Republic and other trouble spots to ease tensions or halt fighting. He was a prodigious toiler and traveler, often working six days a week and 70 hours at a stretch, and was usually at his best under pressure.

 In Kennedy's Inner Circle

 He was one of a small circle of advisers to President Kennedy in the Cuban missile crisis in 1962, when the discovery that Soviet missiles were being transported and installed in Cuba raised the specter of nuclear war with the Soviet Union. Mr. Ball urged a naval blockade of Cuba coupled with a demand that the Soviet missiles be withdrawn, the course that was successfully followed.

 After Mr. Kennedy's assassination in November 1963, Mr. Ball was one of the leaders who went to the White House to work out a transition to the new Administration. Resigning as Under Secretary in 1966, he joined Lehman Brothers and, except for his service at the United Nations and occasional duty as a Presidential adviser, remained with the firm for the rest of his career.

 In the Carter Administration, Mr. Ball helped draft long-range American policy in the Persian Gulf. As an adviser to the National Security Council on Iran, he was critical of supporting Shah Mohammed Riza Pahlevi, and favored formation of a broad coalition government in Teheran. He also helped mount a bipartisan effort for Senate ratification of the Panama Canal Treaties.

 Mr. Ball's wife, Ruth Murdoch Ball, whom he married in 1932, died last August. He is survived by two sons, John Colin Ball, of West Concord, Mass., and Douglas Bleakly Ball, of Rockville Centre, L.I., and two grandchildren. A memorial service will be held at the Fifth Avenue Presbyterian Church in New York on June 21.","George W. Ball, who as Under Secretary of State in the Kennedy and Johnson Administrations argued forcefully but unsuccessfully against United States involvement in the Vietnam War, died Thursday night in New York Hospital.","May 28, 1994, Saturday, Late Edition - Final  George W. Ball Dies at 84; Vietnam's Devil's Advocate"
1994-06-23 00:00:00,33760,"Christopher Clarkson, a retired president of American operations for the British Aircraft Corporation, died on Sunday at his home in Old Lyme, Conn. He was 92.

 A native of England, Mr. Clarkson was educated at Lancing College in Sussex and had a long career in aviation. He joined the Royal Air Force in 1924 as an instructor at its Central Flying School, returned to civilian life as a test pilot and won trophies for aerobatics and cross-Channel air races.

 In World War II, he rejoined the Central Flying School but the R.A.F. sent him to the United States to test the warplanes being sent to Britain on Lend-Lease. He became chief of the test branch of the British Air Commission in this country in 1943, rose to the rank of group captain and received the Air Force Cross.

 After the war he served as civil-aviation attache in the British Embassy in Washington until 1952. That year he became United States representative of Vickers-Armstrong Ltd., then one of Britain's leading aircaft and arms manufacturers. That led to his position in 1961 as head of British Aircraft Corporation U.S.A., now British Aerospace. He retired four years later.

 Mr. Clarkson is survived by his wife, Evelyn Clark Clarkson; three daughters, Lady Carola Dobbs of Carrickfergus, Northern Ireland; Jane Croucher of London, and Catherine Maclean of North Wales; two brothers, Anthony and Stephen, both of Surrey; seven grandchildren, and five great-grandchildren.","Christopher Clarkson, a retired president of American operations for the British Aircraft Corporation, died on Sunday at his home in Old Lyme, Conn.","June 23, 1994, Thursday, Late Edition - Final  Christopher Clarkson, 92, Ex-R.A.F. Pilot"
1994-03-26 00:00:00,12830,"Morris Nielson, the former president and chairman of the Babcock & Wilcox Company, died on Monday at his home in Delray Beach, Fla. He was 89.

 The cause was complications from heart disease said Everett F. Horgan, a friend.

 Mr. Nielson rose to the top of the managerial ladder at Babcock & Wilcox without a high school diploma or college degree. The company which builds and services power plants and equipment.

 He joined the company in 1924 as a structural steel worker, helping to build steam generators for public utilities. During World War II, Babcock & Wilcox placed Mr. Nielson in charge of installing steam boilers on Navy ships. He became vice president of the company in 1955, president in 1957 and chairman in 1960. He retired in 1970.

 Mr. Nielson is survived by his wife of 57 years, Terese, and his brother, Vance, of Kearney, Neb.","Morris Nielson, the former president and chairman of the Babcock & Wilcox Company, died on Monday at his home in Delray Beach, Fla.","March 26, 1994, Saturday, Late Edition - Final  Morris Nielson, Company Chairman, 89"
1995-09-27 00:00:00,51563,"Anyone attending the inauguration this weekend of Ruth Simmons as Smith College's ninth president will be likely to note the presence of such luminaries as Toni Morrison, the Nobel Prize-winning author; Johnnetta Cole, the president of Spelman College; Cornel West, the scholar, and Henry Louis Gates, the writer and chairman of the Afro-American studies department at Harvard.

 But they might miss the people who Ruth Simmons believes are the most important -- those responsible for her becoming the first black president of one of the country's most elite women's colleges. They are her nine brothers and sisters: Elbert, Wilford, Atherine, Albert, Arnold, Nora, Clarence, Ozella and Azella. Her eighth-grade teacher, Modria Caraway. Her high school drama teacher, Vernell Lillie.

 Her kindergarten teacher, Ida Mae Henderson, would like to be there, but at age 85, she is not strong enough to make the trip alone from Grapeland, Tex. ""Miss Ida Mae,"" Dr. Simmons said. ""I revere her.""

 Dr. Simmons, who is 50, is the great-great-granddaughter of slaves. She began her journey on a cotton farm in Grapeland, in East Texas. Her parents, the late Isaac and Fannie Stubblefield, were sharecroppers. Dr. Simmons was the youngest of 12 children -- two brothers are dead -- and was 7 when the family moved to a poor section of Houston. Her father went to work in a factory and eventually became pastor of the Mount Hermon Missionary Baptist Church. Her mother scrubbed floors for white families.

 To Henry Louis Gates, the appointment of a black woman to the top job at Smith is ""a major event in the history of American letters."" Professor Gates, who regards Dr. Simmons as a mentor, said, ""She's the Jackie Robinson of college presidents.""

 Ask Ruth Simmons how she did it, how she made her way from Grapeland to the provost's job at Spelman College to vice provost at Princeton University to the presidency of Smith, and she seems startled by the question. ""I didn't make it happen,"" she said in an interview the other day in her wood-paneled office at Smith. ""That's just the point.""

 It was her teachers at the segregated schools she attended, W. R. Banks Elementary in Grapeland and Phyllis Wheatley High in Houston, who made it happen, she said. ""They thought I belonged in college,"" she said. ""And they were convinced they would get me there. They protected me, especially after my mother died.""

 She was 15 when her mother lost her battle with kidney disease. ""I had a remarkable mother,"" said Dr. Simmons, who is 50. ""When she would do day's work, she would sometimes take me with her to white people's houses when I was a little girl. The thing I remember vividly is how good she was at what she did. She was very demanding in terms of her own work -- Do it well, do it thoroughly, whatever you do.""

 After graduation from high school, she went to Dillard University, a historically black institution in New Orleans, where she majored in Romance languages.

 ""Vernell Lillie wrote to Dillard, which is where she had gone, and asked them to provide a scholarship for me,"" Dr. Simmons said.

 Ms. Lillie, a professor of African studies at the University of Pittsburgh, said in a telephone interview: ""She was brilliant. I was very fortunate to be a part of her life.""

 The scholarship did not cover everything. ""I didn't have enough money to buy clothes,"" said Dr. Simmons, who was elegantly dressed the other morning in a long, dark-green pleated skirt and matching jacket, with a double strand of pearls and small gold hoop earrings. ""And I'll never forget one of my teachers asked me to come over to her house, and she went to her closet and she took enough clothes out for me to go to college.""

 Her family pitched in, too. ""My brothers and sisters would send me what they could,"" she said. ""They were all starting families. Sometimes it would be $5, or $10.""

 Her brother Wilford Stubblefield, who is 16 years older, was working at an oil refinery in Houston as a janitor, the only job open to a black man at the refinery in those days.

 ""We all helped her -- probably not as much as we should have,"" Wilford said in a recent telephone interview from his home in Houston. ""She was the second one that had gone off to college. Naturally, we were proud.""

 Another brother, Clarence Stubblefield, who is 54 and a high school basketball coach in Houston, had gone to Prairie View College in Texas on a basketball scholarship.

 Dr. Simmons said: ""I'm not the brightest person in my family. I was very lucky. I came along at the right time.""

 Growing up in the segregated South, she said, she had no specific ambition, only a hunger to learn. ""One really didn't aspire to do professional things,"" she said. ""I think my mother must have thought that eventually perhaps I would get enough education to be self-sustaining and to do something comfortable, perhaps housework.""

 Instead, she earned an undergraduate degree from Dillard, and master's and doctorate degrees in Romance languages at Harvard. She became an assistant professor of French, and later an assistant dean at the University of New Orleans.

 In the meantime, at age 22, she married Norbert Simmons, a lawyer and businessman. They had a son, Khari, now 22 and a student at Morehouse College in Atlanta, and a daughter, Maya, 18, who plans to attend Spelman next year.

 After the couple separated in the mid-1980's -- they were divorced in 1989 -- Dr. Simmons began her administrative rise at Princeton. She brought Ms. Morrison and Professor West to the Princeton faculty. She tried to persuade Professor Gates to join the faculty, too, he said.

 There was one problem with Ms. Morrison's appointment: the faculty search committee wanted a resume. And Ms. Morrison, offended by the request, refused to submit one.

 So Ruth Simmons wrote Toni Morrison's resume for her. ""Here's my philosophy about life,"" said Dr. Simmons, who considers Ms. Morrison her best friend. ""Don't dwell on insignificant things.""

 Ms. Morrison said in a telephone interview: ""She's still a bit of a miracle as far as I'm concerned. She has an unusual combination of real politics and integrity, and this very keen sense of morals which does not interfere with her generosity and her wide spiritedness. She's extremely creative in terms of solving other people's problems. And she's a lot of fun.""

 For the 14-member presidential search committee at Smith, Dr. Simmons was the unanimous first choice. ""We had a wish list of the qualities we wanted,"" said one member of the committee, Peter Rose, a sociology professor. ""She seemed to fill them all. Race was not an issue.""

 Of Smith's 2,800 students, 86 are black. There are 15 black faculty members -- out of 300.

 One goals, Dr. Simmons said, is to interest more black women in Smith. She hopes her presence will help. ""If it's not a good place for African-American students,"" she said, ""it's not a good place for me.""

 Her friend, Professor Gates, said he was already planning ahead. ""I'm hoping Maggie and Liza Gates will go to Smith now,"" he said, referring to his teen-age daughters. ""It never would have occurred to me before Ruth became president.""

 For now, her presence has electrified the campus. She walks everywhere. She invites students into her office to talk. She listens to them, they say.

 Tigress Osborne, a black senior, said she returned to Smith last spring after taking some time off. ""One of my friends said, 'You won't believe what's happened: we have a black president!' "" Ms. Osborne said. ""There's a moment when you think if Smith picked a black woman, how black is she? Is she going to be interested in us?""

 She added, ""But there's a real sense of her blackness. She also has a good handle on how to be not just the black president, on how not to cater to just black students.""

 Watching Dr. Simmons mingle at the senior tea last week, one senior, Kathryn Fields, who is white, said: ""She's so cool. She's so young. She's new, she's exciting, she's going to make this school amazing.""

 At her inauguration, the new president will be carrying a Bible her mother gave her father on the day they were married.

 ""I know the board of trustees thinks I'm trying to live up to the standards they set for me, and that's O.K.,"" she said. But she is aiming toward the higher standard set for her by Fannie Stubblefield, who never had the chance to go beyond the seventh grade. ""Every day that I'm here,"" Dr. Simmons said, ""I try to be worthy of the kind of person my mother wanted me to be.""","Anyone attending the inauguration this weekend of Ruth Simmons as Smith College's ninth president will be likely to note the presence of such luminaries as Toni Morrison, the Nobel Prize-winning author; Johnnetta Cole, the president of Spelman College; Cornel West, the scholar, and Henry Louis Gates, the writer and chairman of the Afro-American studies department at Harvard.","September 27, 1995, Wednesday, Late Edition - Final  Smith's New President Applauds Her Mentors"
1995-10-26 00:00:00,51715,"Thomas J. Johnston, a former chairman of the executive search firm Heidrick & Struggles, died on Monday at Marin General Hospital in Greenbrae, Calif. He was 72, and had homes in California at Belvedere near San Francisco and Pebble Beach.

 The cause was complications from a stroke he suffered earlier this year, said his wife, Elaine.

 As one of the first consultants hired in 1956 by Heidrick & Struggles, Mr. Johnston was a leader in the firm's expansion outside its Chicago home. Today, Heidrick & Struggles is one of the country's largest executive search firms and is often called on to find top executives at some of the country's largest corporations.

 Mr. Johnston opened the firm's office in Los Angeles, its first outside Chicago, and became director of West Coast operations in 1960. Later he supervised the creation of the firm's London office, its first outside the United States, and in 1970 he became chief executive. From 1978 to 1981 he was chairman, and he remained with the company as honorary chairman until 1991, when he retired.

 Born in Oak Park, Ill., Mr. Johnston graduated from St. Mary's College in Winona, Minn., and served in the Navy during World War II. After the war, Mr. Johnston was a specialist in personnel management at various corporations, starting with Western Electric, in 1946. As retail personnel manager at Montgomery Ward & Company he met John Struggles, a founder of the firm that bears his name.

 Besides his wife, Mr. Johnston is survived by four daughters, Elene Kapp of Santa Ana, Calif., Molly Johnston of Altadena, Calif., Anne Gardner of Pasadena, Calif., Karen Johnston of Larchmont, N.Y.; a son, John of San Francisco, two sisters, Sister Katrine Johnston of the Sisters of Charity of the Blessed Virgin Mary, of Dubuque, Iowa, and Kathleen Gaumond of Spring Park, Minn., and six grandchildren.","Thomas J. Johnston, a former chairman of the executive search firm Heidrick & Struggles, died on Monday at Marin General Hospital in Greenbrae, Calif.","October 26, 1995, Thursday, Late Edition - Final  T. J. Johnston, 72, Former Chairman Of Big Search Firm"
