fn,words,first500
Indobit-A-NYT1992_1501-2000-130.txt,"[""actor"", ""artist""]","
 Walter A. Miller, who practiced law in Brooklyn for 64 years, died on Thursday
 at Long Island College Hospital in Brooklyn. He was 87 years old and lived in
 Brooklyn.
 He died of heart failure, his family said.
 A native of Brooklyn, Mr. Miller was a 1925 Phi Beta Kappa graduate of Princeton
 University and earned his LL.B. at Brooklyn Law School in 1928.
 He served on state and city panels including the State Health Planning
 Commission, a state Citizens Advisory Committee on the Care of th"
Indobit-A-NYT1988_1001-1500-292.txt,"[""actor"", ""artist"", ""manager"", ""director"", ""television director""]","
 Louis Fried, a former president of the National Shoe Stores chain and a
 philanthropist, died of heart failure yesterday at his home in West Palm Beach,
 Fla. He was 94 years old.
 Mr. Fried, who was born in New York City, began in the shoe business in 1905 as
 an errand boy with Joseph Siegal Shoes in Manhattan. He became a partner in the
 company, which in 1931 opened National Shoe Stores. By the late 1960's the
 company, of which he was president, had more than 200 shoe outlets. He retired
"
Indobit-A-NYT1989 - March 1 - April 30-395.txt,"[""artist"", ""manager"", ""screenwriter"", ""director"", ""writer""]"," SANTA MONICA, Calif., April 28
 Marc Daniels, who directed the first 38 episodes of the ''I Love Lucy''
 television series, died Sunday of congestive heart failure at St. John's Medical
 Center. He was 77 years old.
 Mr. Daniels and the cinematographer Karl Freund pioneered the use of three
 cameras rather than one in filming ''I Love Lucy.'' The system allows a show to
 be filmed continuously and in sequence in front of an audience as though it were
 a stage play. The three-camera setup is sti"
Indobit-A-NYT1987 - Nov 1 - Dec 31-197.txt,"[""writer""]","
 Diana Sheean, an author and the widow of Vincent Sheean, died of a stroke
 complicated by pneumonia at St. Stephen's Hospital in London last Wednesday. She
 was 72 years old.
 The daughter of Sir Johnston Forbes-Robertson and Lady Gertrude
 Forbes-Robertson, a well-known actor and actress, Mrs. Sheean was born in London
 and spent most of her childhood in Kent, near the cliffs of Dover. ''There the
 great events of the village,'' she recalled, ''were the arrivals of Channel
 swimmers and Germa"
Indobit-A-NYT1989 - Nov 1 - Dec 31-260.txt,"[""manager"", ""urban planner""]","
 Harland Bartholomew, the dean of comprehensive city planning in the United
 States, died Saturday at his home in Clayton, Mo., a suburb of St. Louis. He was
 100 years old.
 Mr. Bartholomew, a consulting engineer, was appointed to Federal planning
 committees by three Presidents, Herbert Hoover, Franklin D. Roosevelt and Dwight
 D. Eisenhower.
 In 1941 President Roosevelt appointed Mr. Bartholomew to a committee to
 recommend a limited system of national highways. He also helped plan the Metro"
Indobit-A-NYT2007 - Oct 1 - Dec 31-137.txt,"[""artist"", ""novelist"", ""screenwriter"", ""science fiction writer"", ""writer""]","
 Ira Levin, a mild-mannered playwright and novelist who liked nothing better than
 to give people the creeps -- and who did so repeatedly, with best-selling novels
 like ''Rosemary's Baby,''  ''The Stepford Wives'' and ''The Boys From Brazil''
 -- died on Monday at his home in Manhattan. He was 78.
 No specific cause of death had been determined, but Mr. Levin appeared to have
 died of natural causes, his son Nicholas said yesterday.
 Mr. Levin's output was modest -- just seven novels in four d"
Indobit-A-NYT2003 - July 1 - Sep 30-227.txt,"[""film actor"", ""screenwriter"", ""television actor"", ""artist"", ""writer"", ""actor"", ""character actor""]","
 Charles Bronson, a muscular coal miner from Pennsylvania who became an
 international film star and archetypal American tough guy, died Saturday at
 Cedars-Sinai Medical Center in Los Angeles. He was 81 and lived in Los Angeles.
 The cause was pneumonia, said his publicist, Lori Jonas.
 Mr. Bronson was acclaimed in Italy as Il Brutto (The Ugly One) and in France he
 was one of the monstres sacres of the cinema. His acceptance in the United
 States was delayed and muted, with critics sour on th"
Indobit-A-NYT1994_1001-1500-367.txt,"[""journalist"", ""humanities scholar"", ""historian of the modern age"", ""politician"", ""researcher"", ""historian"", ""writer"", ""non-fiction writer"", ""scientist""]"," ROME, Aug. 4
 Giovanni Spadolini, a former Prime Minister, a prolific author and a stalwart of
 many Italian administrations, died here today. He was 69.
 His office said he died of respiratory failure while recovering from a stomach
 operation last month.
 With his bulky, shuffling gait and heavy spectacles, Mr. Spadolini had been a
 familiar figure for many years in a career that spanned journalism, the academic
 world and politics.
 On June 10, 1981, two years after becoming head of the smal"
Indobit-A-NYT1995 - May 1 - June 30-199.txt,"[""philologist"", ""humanities scholar"", ""classical philologist"", ""academic"", ""researcher"", ""scientist"", ""teacher"", ""university teacher"", ""educator"", ""faculty member"", ""classical scholar""]","
 Thomas Fauss Gould, a scholar of Greek literature and philosophy who was a
 professor emeritus of classics at Yale University, died on May 13 at the
 Connecticut Hospice in Branford, Conn. He was 67 and had lived for many years in
 New Haven.
 In announcing the death last week, the university reported the cause as a liver
 ailment.
 In a career starting in the 50's, he schooled undergraduates in classical Greek
 and Greek mythology, and he translated classical Greek literature into English.
 H"
Indobit-A-NYT2005 - July 1 - Sep 30-294.txt,"[""painter"", ""artist"", ""visual artist""]","
 Sister Jacques-Marie, the plainspoken Dominican nun whose unlikely friendship
 with Henri Matisse resulted in the Chapel of the Rosary that he regarded as his
 masterpiece, died on Monday at a convent in Bidart, a village on the Basque
 coast of France.
 Sister Marie Pierre, a member of the Vence Dominicans, the branch of the
 sisterhood that runs the Chapelle du Rosaire des Dominicains de Vence, said
 Sister Jacques-Marie died after having long been ill with respiratory and other
 ailments. S"
Indobit-A-NYT1981 - Jan 1 - March 31-87.txt,"[""performer"", ""dancer"", ""ballet master"", ""artist"", ""ballet dancer"", ""choreographer"", ""educator""]","
 George Skibine, dancer, choreographer and artistic director of the Dallas
 Ballet, died Wednesday night at his home in Dallas after a short illness. He was
 60 years old.
 Born in Yasnaya Poliana, Russia, in 1920, Mr. Skibine was the son of Boris
 Skibine, a member of Diaghilev's Ballets Russes. He made his first stage
 appearance in Monte Carlo at the age of 5 as a child in the crowd scenes of the
 Diaghilev production of ''Petrouchka.''
 After studies in Paris and Monte Carlo, he performed a"
Indobit-A-NYT1986_1001-1500-88.txt,"[""writer""]","
 Frank McMahon, a Canadian industrialist and sportsman known to thoroughbred
 racing fans in the United States and in Canada, died yesterday at his home in
 Bermuda. He was 83 years old.
 In 1973, Mr. McMahon retired as chairman of the board emeritus and chief
 executive officer of the Westcoast Transmission Company, an oil and pipeline
 concern with headquarters in Vancouver, British Columbia, after a long and
 colorful career.
 With his brother George, he developed a gas pipeline in Alberta a"
Indobit-A-NYT2003 - April 1 - June 30-181.txt,"[""performer"", ""singer-songwriter"", ""dancer"", ""composer"", ""vocal composer"", ""singer"", ""artist"", ""instrumentalist"", ""vocalist"", ""musician"", ""writer"", ""actor"", ""poet"", ""songwriter"", ""lyricist""]","
 June Carter Cash, a singer, songwriter and actress and the wife and collaborator
 of Johnny Cash, died yesterday in Nashville. She was 73.
 She had been critically ill since having surgery at Baptist Hospital on May 7 to
 replace a heart valve.
 Of all her accomplishments, the best known is probably the hit song ""Ring of
 Fire,"" which is about falling in love with Johnny Cash, and which he performed.
 Ms. Cash wrote the song with Merle Kilgore in 1963, long before her marriage to
 Mr. Cash in "
Indobit-A-NYT2011 - Oct 1 - Dec 31-143.txt,"[""warrior"", ""bureaucrat"", ""military personnel"", ""political scientist"", ""official"", ""social scientist"", ""civil servant"", ""researcher"", ""academic"", ""faculty member"", ""military officer"", ""teacher"", ""university teacher"", ""educator"", ""scientist""]","
 Robert A. Scalapino, an eminent scholar of Asian politics who achieved
 prominence during the Vietnam War for his strong defense of American policy as
 opposition to it was growing, died Nov. 1 in Oakland, Calif. He was 92.
 The cause was complications of a respiratory infection, the University of
 California, Berkeley, said. Professor Scalapino taught there from 1949 to 1990
 and founded its Institute of East Asian Studies in 1978.
 The author of 39 books on Vietnam, China, Korea, Japan and T"
Indobit-A-NYT1998_501-1000-111.txt,"[""researcher""]","
 Alan Simpson, the president of Vassar College in the turbulent 1960's and 70's
 whose easygoing charm, wit and scholarship helped him weather not only a time of
 student protest but also the admission of men to the all-women school, died on
 Tuesday at Lake Forest Hospital in Lake Forest, Ill. He was 85.
 The cause was pneumonia, said his granddaughter, Mary Kathleen Flynn.
 Like many college presidents of the era, Mr. Simpson became embroiled in student
 disputes over the Vietnam War, race, s"
Indobit-A-NYT1997 - July 1 - Sep 30-303.txt,"[""manager"", ""construction worker"", ""designer"", ""screenwriter"", ""urban planner"", ""academic"", ""artist"", ""faculty member"", ""teacher"", ""university teacher"", ""educator"", ""builder"", ""writer""]","
 Aldo Rossi, the Italian architect known for works of monumental simplicity and
 power, died yesterday in Milan, where he lived. He was 66.
 His Manhattan office said he died as a result of injuries sustained in a car
 accident last week as he drove to his weekend home on the Lago Maggiore in
 northern Italy.
 Mr. Rossi, who won the Pritzker Prize, the highest award in his field, in 1990,
 was an architect's architect. His work combined unabashedly grand forms with the
 most reductive geometric"
Indobit-A-NYT1989 - Jan 1 - Feb 28-85.txt,"[""humanities scholar"", ""researcher"", ""writer"", ""poet"", ""scientist"", ""philosopher""]","
 Dr. John L. Norris, a former chairman of Alcoholics Anonymous, died of
 complications from pneumonia Friday in New London Hospital in New Hampshire. He
 was 85 years old and lived in New London.
 From 1943 to 1969, Dr. Norris was medical director of the Eastman Kodak Company
 in Rochester, N.Y. During that time, he developed expertise in the treatment of
 alcoholism, which he regarded as one of the nation's most pressing medical
 problems.
 He was chairman of Gov. Nelson A. Rockefeller's Advis"
Indobit-A-NYT1990_January to June_1001-1500-346.txt,"[""journalist"", ""art historian"", ""cultural studies scholar"", ""humanities scholar"", ""social scientist"", ""anthropologist"", ""researcher"", ""historian"", ""archaeologist"", ""writer"", ""interdisciplinary scientist"", ""non-fiction writer"", ""scientist""]","
 Peter Throckmorton, an underwater archeologist who located and explored
 shipwrecks, died last Tuesday at his home in Newcastle, Me., at the age of 61.
 The family said he was found dead in bed of natural causes.
 Mr. Throckmorton was credited with finding and excavating the two oldest sunken
 ships on record. In 1975, leading a group that explored the Aegean Sea near the
 Greek island of Hydra, he found a cargo ship believed to have dated from the
 Bronze Age in 2500 B.C.
 In 1960, another Th"
Indobit-A-NYT2014_501-1000-228.txt,"[""politician""]","
 Sophie Masloff, a Democrat who campaigned with a big black pocketbook, charmed
 voters with homespun verbal gaffes and from 1988 to '94 was the first woman and
 the first Jew to serve as mayor of Pittsburgh, died on Sunday at a hospice in
 Mount Lebanon, Pa., a suburb of Pittsburgh. She was 96.
 Her death was confirmed by Joseph Sabino Mistick, her chief of staff when she
 was mayor.
 Mrs. Masloff, who lived in Pittsburgh all her life, had only a high school
 education, had worked most of her "
Indobit-A-NYT2002_501-1000-343.txt,"[""painter"", ""artist"", ""children's writer"", ""visual artist"", ""writer""]","
 Esphyr Slobodkina, a prominent abstract artist better known for her
 down-to-earth children's book ""Caps for Sale,"" a tale about a peddler and a band
 of mischievous monkeys, died on Sunday at her home in Glen Head, N.Y. She was
 93.
 ""Caps for Sale"" was first published in 1938 and still sells steadily, as
 generation after generation of children demands that the cheerfully repetitive
 "
Indobit-A-NYT1993 - May 1 - June 30-379.txt,"[""children's writer"", ""screenwriter"", ""writer""]","
 Bernard Evslin, a playwright, screenwriter and mythologist from New Rochelle,
 N.Y., died on June 4 in Kauai, Hawaii. He was 77.
 He died of cardiac arrest while swimming in a pool, said his wife, Dorothy.
 In 1959, his comedy ""The Geranium Hat"" was well received on Broadway, but three
 years later his play ""Step on a Crack"" starring Rita Hayworth closed after only
 one performance at the Ethel Barrymore Theater. ""Nightmares,"" Mr. Evslin said
 later, ""are the penalty for dreams.""
 Mr. Evslin t"
Indobit-A-NYT2003 - April 1 - June 30-185.txt,"[""painter"", ""artist"", ""visual artist""]","
 Skunder Boghossian, an Ethiopian-born artist who played an important role in
 introducing European modernist styles into Africa and who, as a longtime
 resident of the United States, became one of the best-known African modern
 artists in the West, died on May 4 at Howard University Hospital in Washington.
 He was 65.
 No cause of death was released, but he had been ill for some time and was found
 unconscious in his apartment, said Kimberly Mayfield, a spokeswoman for the
 National Museum of "
Indobit-A-NYT1992_2001-2402-76.txt,"[""gridiron football player"", ""American football player""]"," LOS ANGELES, Nov. 26
 Hewritt Dixon, a star rusher and receiver for the Oakland Raiders in the late
 1960's, died on Tuesday. He was 52 years old.
 Mr. Dixon, who had been suffering from cancer, had been a patient at White
 Memorial Medical Center for the last three weeks, said a hospital spokesman,
 Mark Newmyer.
 A graduate of Florida A&M, Dixon was selected in the eighth round of the
 American Football League draft in 1963 by the Denver Broncos. He spent three
 years with Denver before he wa"
Indobit-A-NYT1981 - Oct 1 - Dec 31-61.txt,"[""politician""]","
 John Rau, a leading figure in the early days of contract bridge, died in Walnut
 Creek, Calif., Friday night. He was 73 years old and had been suffering from
 cancer.
 Mr. Rau, a New York resident until his retirement to California, was a sales
 executive concerned with package design.  In 1930, when contract bridge was less
 than five years old, Mr.  Rau, then 22, and an even younger partner, William
 Barrett, created a sensation in their first national tournament by the extensive
 use of psy"
Indobit-A-NYT1994_1-500-365.txt,"[""gridiron football player"", ""American football player"", ""coach"", ""head coach""]","
 Jake Gaither, the longtime Florida A&M coach who turned a generation of
 ""mo-bile, a-gile and hos-tile,"" youngsters into some of the National Football
 League's fiercest competitors from the 1940's to the 1970's, died yesterday at a
 hospital in Tallahassee, Fla. He was 90. A school spokesman said he had been in
 failing health.
 ""My boys,"" as Gaither called them, may have come to him raw, but by the time
 they graduated to the N.F.L., as more than 40 of them did during his 25-year-run
 -- inc"
Indobit-A-NYT1999 - Jan 1 - March 31-348.txt,"[""novelist"", ""writer""]"," LOS ANGELES, March 21
 Ray Russell, a prolific writer of horror and fantasy stories, died on March 15
 at a nursing home here. He was 74 and lived in Los Angeles.
 The cause was complications from a stroke, said his son, Marc.
 In addition to seven novels, Mr. Russell wrote dozens of stories that appeared
 in various anthologies. His 1960 novella, ""Sardonicus,"" was praised by Stephen
 King as ""perhaps the finest example of the modern Gothic ever written."" The
 tale, about a man who suffers hide"
Indobit-A-NYT2009 - April 1 - June 30-152.txt,"[""businessperson"", ""entrepreneur""]","
 Daniel Carasso, who helped turn yogurt from an obscure ethnic food into an
 international staple through the Danone brand in Europe and Dannon in the United
 States, died Sunday at his home in Paris. He was 103.
 The death was announced by Groupe Danone, of which Mr. Carasso was honorary
 chairman.
 The Danone brand owes nearly everything to Mr. Carasso, including its name. When
 his father, Isaac, created the yogurt in Barcelona in 1919, he named it after
 his son, whose nickname in Catalan w"
Indobit-A-NYT1991 - June 1 - June 30-156.txt,"[""film actor"", ""screenwriter"", ""television actor"", ""artist"", ""model"", ""writer"", ""actor""]","
 Joan Caulfield, an actress who starred in films of the 1940's and in television
 situation comedies of the 1950's, died on Tuesday at Cedars-Sinai Medical Center
 in Los Angeles.  She was 69 years old and lived in Beverly Hills, Calif.
 She died of cancer, a hospital spokesman said.
 Miss Caulfield was propelled to stardom by the films ""Monsieur Beaucaire,"" in
 which she appeared with Bing Crosby, and ""Blue Skies,"" with Bob Hope, both
 released in 1946, and by ""Dear Ruth,"" appearing opposite W"
Indobit-A-NYT1995 - Nov 1 - Dec 31-140.txt,"[""journalist"", ""non-fiction writer"", ""writer""]","
 Israel Cohen, whose family helped develop the concept of the supermarket, died
 in Washington, his hometown, on Wednesday, four months after taking a medical
 leave of absence as chairman and chief executive of Giant Food Inc. He was 83.
 The company, based in the Washington suburb of Landover, Md., said the cause of
 death was complications from non-Hodgkin's lymphoma.
 For more than three decades after the 1964 retirement of his father, Nehemiah M.
 Cohen, Israel Cohen was a leading figure i"
Indobit-A-NYT2010_1-500-499.txt,"[""official"", ""bureaucrat"", ""magistrate"", ""civil servant""]","
 William S. Richardson, who as chief justice of the Hawaii Supreme Court for 16
 years was a leading proponent of the rights of native Hawaiians, often relying
 on ancestral custom rather than Western common law in his decisions, died Monday
 in Honolulu. He was 90.
 He died of natural causes, according to a statement by the William S. Richardson
 School of Law at the University of Hawaii.
 The establishment in 1973 of the law school -- the only one in Hawaii -- was one
 of Chief Justice Richar"
Indobit-A-NYT2005 - Jan 1 - March 31-248.txt,"[""lobbyist""]","
 Isabelle Goldenson, who worked for people with disabilities, including her
 oldest daughter, as a founder of United Cerebral Palsy, died on Feb. 21 at her
 home in Sarasota, Fla. She was 84.
 Her death was announced by her family.
 People with disabilities were often separated from their families and
 institutionalized at the time that Mrs. Goldenson and her husband, Leonard H.
 Goldenson, former head of ABC, were raising their daughter Genise.
 In 1945, the Goldensons and another couple, Jack"
Indobit-A-NYT2003 - April 1 - June 30-149.txt,"[""gridiron football player"", ""American football player""]"," MIAMI, May 6
 David Woodley, the starting quarterback for the Miami Dolphins in the 1983 Super
 Bowl, died on Sunday at a hospital in Shreveport, La., his hometown. He was 44.
 The cause was liver and kidney failure, his niece Lucy Woodley said. Woodley
 underwent a liver transplant in 1992.
 A former star at Louisiana State, Woodley succeeded the Hall of Fame quarterback
 Bob Griese in Woodley's rookie season, 1980. He started in the Dolphins' 27-17
 Super Bowl loss to the Washington Redskins "
Indobit-A-NYT1993 - March 1 - April 30-14.txt,"[""humanities scholar"", ""social scientist"", ""mental health professional"", ""health professional"", ""researcher"", ""academic"", ""faculty member"", ""educator"", ""teacher"", ""university teacher"", ""psychologist"", ""scientist"", ""philosopher""]","
 William A. James, the chief pilot of American Airlines, died Saturday in a
 skiing accident in Park City, Utah. He was 52 and lived in Colleyville, Tex.
 He was killed when he veered off course, struck a tree and suffered head
 injuries, a company spokesman said.
 Mr. James was American's vice president of flight and chief pilot at the
 airline's international headquarters in Fort Worth. He was in charge of 10,000
 pilots for American, the world's largest airline.
 Inspired by a ride in a smal"
Indobit-A-NYT1992_1-500-433.txt,"[""journalist"", ""screenwriter"", ""composer"", ""vocal composer"", ""artist"", ""musician"", ""writer"", ""poet"", ""songwriter"", ""lyricist"", ""non-fiction writer""]","
 Helen Deutsch, the award-winning screenwriter for ""Lili,"" ""I'll Cry Tomorrow""
 and ""The Unsinkable Molly Brown"" and co-author of ""National Velvet,"" died
 yesterday at her home in Manhattan. She was 85 years old.
 She had been under nursing care and died of natural causes, the medical
 examiner's office said.
 Her script for ""Lili"" was nominated for an Academy Award in 1953 and won Cannes
 Film Festival and Writers Guild of America prizes and the Hollywood Foreign
 Press Association's Golden Gl"
Indobit-A-NYT2011-April 1 - June 30-204.txt,"[""actor"", ""artist"", ""television actor"", ""film actor""]","
 James Arness, who burnished the legend of America's epic West as Marshal Matt
 Dillon, the laconic peacemaker of Dodge City on ''Gunsmoke,'' one of the
 longest-running dramatic series in television history, died on Friday at his
 home in Los Angeles. He was 88.
 A family spokeswoman, Ginny Fazer, confirmed the death. Mr. Arness was terribly
 shy and had almost no training as an actor. A wartime leg wound made it painful
 for him to mount a horse. But he became the best-known tin star of his e"
Indobit-A-NYT2002_1001-1513-42.txt,"[""film actor"", ""performer"", ""television actor"", ""artist"", ""stage actor"", ""actor""]","
 Cliff Gorman, a stage, film and television actor who won a Tony Award for his
 dynamic portrayal of Lenny Bruce in the Broadway play ""Lenny,"" died last
 Thursday at his home in Manhattan. He was 65.
 The cause was leukemia, said his wife, Gayle, his only survivor.
 In ""Lenny,"" which opened at the Brooks Atkinson Theater in May 1971, Mr. Gorman
 played Bruce with the same intensity and caustic wit that made the
 controversial, foulmouthed comedian's name a countercultural byword.
 The play, wri"
Indobit-A-NYT2011-April 1 - June 30-40.txt,"[""ice hockey player""]","
 Randy Wood, who started out stocking records in a nook of his electrical
 appliance store before going on to found Dot Records, a label that found success
 in the 1950s recording white artists like Pat Boone singing black artists'
 rhythm-and-blues songs, died on Saturday at his home in the La Jolla section of
 San Diego. He was 94.
 The cause was complications of a fall, his wife, Lois, said.
 The store Mr. Wood opened in 1944, in Gallatin, Tenn., spawned a mail-order
 record business that by"
Indobit-A-NYT2014_501-1000-41.txt,"[""manager"", ""performer"", ""jazz musician"", ""music director"", ""director"", ""keyboardist"", ""composer"", ""conductor"", ""artist"", ""instrumentalist"", ""musician"", ""bandleader""]","
 Horace Silver, a pianist, composer and bandleader who was one of the most
 popular and influential jazz musicians of the 1950s and '60s, died on Wednesday
 at his home in New Rochelle, N.Y. He was 85.
 His death was announced by Blue Note Records, the company for which he recorded
 from 1952 to 1979.
 After a high-profile apprenticeship with some of the biggest names in jazz, Mr.
 Silver began leading his own group in the mid-1950s and quickly became a big
 name himself, celebrated for his cle"
Indobit-A-NYT2012_1-500-319.txt,"[""manager"", ""screenwriter"", ""director"", ""artist"", ""writer"", ""actor""]","
 Peter Douglas, who fought for decades to preserve the California coast --
 treasured for its vast stretches of pristine beaches, jagged cliffs and delicate
 wetlands -- died on April 1 at his sister's home in La Quinta, Calif. He was 69.
 The cause was lung cancer, his son Vanja said.
 For 26 years, Mr. Douglas was the executive director of the California Coastal
 Commission, the powerful state agency that he helped create with a mandate to
 keep the coast open to the public -- and one that se"
Indobit-A-NYT1984_1-500-266.txt,"[""gridiron football player"", ""American football player""]"," WASHINGTON, Feb. 27
 Dr. Louis B. Wright, director of the Folger Shakespeare Library from 1948 to
 1968, died of cardiovascular disease Sunday in his home in Chevy Chase, Md. He
 was 84 years old
 Dr. Wright, a South Carolinian, took leave from the University of North
 Carolina, where he taught English, to become a visiting scholar at the
 Huntington Library in San Marino, Calif., in 1931. He stayed on for 17 years as
 an administrator and scholar of the English Renaissance and American Colonia"
Indobit-A-NYT1993 - March 1 - April 30-356.txt,"[""painter"", ""artist"", ""visual artist""]","
 James Edward O'Driscoll, an administrator at the Institute of International
 Education in Manhattan, died on Saturday at New York Hospital. He was 57 and
 lived in Manhattan.
 The cause was pneumonia, his family said.
 At the time of his death, Mr. O'Driscoll was director of placement and special
 education at the institute. His division evaluates the requirements of
 scholarship students and places them at suitable colleges and universities in
 this country and abroad.
 The institute was foun"
Indobit-A-NYT1997 - July 1 - Sep 30-330.txt,"[""novelist"", ""poet lawyer"", ""writer"", ""poet"", ""translators and interpreters"", ""translator""]"," PARIS, Sept. 11
 Robert Pinget, a Swiss-born novelist and playwright who first won recognition as
 a member of the Nouveau Roman literary movement in France in the late 1950's,
 died in a hospital in Tours on Aug. 25 at the age of 78.
 The cause of death was a stroke, French newspapers reported.
 A tall, dapper man who showed little interest in fame or success, Mr. Pinget was
 a prolific author, publishing 14 novels, 11 plays and several books of essays
 and notes, winning a loyal following mor"
Indobit-A-NYT1997 - Jan 1 - March 31-271.txt,"[""actor"", ""artist"", ""television actor"", ""voice actor""]","
 Robert Ridgely, a film and television actor, died on Feb. 8 at his home in
 Toluca Lake, Calif. He was 65.
 The cause was cancer, his wife, Patricia, said.
 Mr. Ridgely was a familiar face in Jonathan Demme and Mel Brooks films. He was a
 game show host in Mr. Demme's ""Melvin and Howard"" and a homophobic lawyer in
 ""Philadelphia."" He played Boris the Hangman in Mr. Brooks's ""Blazing Saddles""
 and did a reprise in ""Robin Hood: Men in Tights.""
 His other film credits include ""Beverly Hills Cop I"
Indobit-A-NYT2007 - Oct 1 - Dec 31-53.txt,"[""television actor"", ""artist"", ""singer"", ""musician"", ""actor"", ""vocalist""]","
 Carol Bruce, a promising stage actress and singer from the 1940s who became best
 known late in her long career as Mama Carlson, the ruthless station owner on the
 television comedy ''WKRP in Cincinnati,'' died on Oct. 9 in Woodland Hills,
 Calif. She was 87.
 The cause was chronic obstructive pulmonary disease, according to an
 announcement by the Motion Picture and Television Fund.
 In her recurring role on ''WKRP in Cincinnati,'' Ms. Bruce was the tough,
 business-minded owner of a radio st"
Indobit-A-NYT2009 - July 1 - Sep 30-266.txt,"[""humanities scholar"", ""social scientist"", ""researcher"", ""religious studies scholar"", ""theologian"", ""scientist""]","
 The Rev. Forrest Church, a longtime pastor at the Unitarian Church of All Souls
 on the Upper East Side who spent the last three years of his life, after being
 told he had terminal cancer, articulating a philosophy of death and dying and a
 complete expression of his liberal theology in two books, died on Thursday in
 Manhattan. He was 61. The cause was complications of esophogeal cancer, said his
 wife, Carolyn Buck Luce.
 As the senior minister to the liberal and affluent All Souls congrega"
Indobit-A-NYT2013- July 1 - Sep 30-19.txt,"[""screenwriter"", ""writer""]","
 Snoo Wilson, a British playwright and director whose surreal work slyly
 critiqued social injustices and conventions, died on Wednesday. He was 64.
 The cause was a heart attack, said his wife, the journalist Ann McFerran. He
 lived in London and in Dungeness, on the south coast of England.
 Mr. Wilson was a contemporary of British playwrights like David Hare, David
 Edgar and Howard Brenton, but his work became less obviously political and often
 more humorous and bizarre than theirs.
 A vers"
Indobit-A-NYT2016_1001-1855-78.txt,"[""novelist"", ""writer""]","
 Gloria Naylor, whose debut novel, ''The Women of Brewster Place,'' won a
 National Book Award and was adapted into an acclaimed mini-series that starred
 and was produced by Oprah Winfrey, died on Wednesday near her home in
 Christiansted, V.I. She was 66.
 The cause was heart failure, her niece, Cheryl Rance, said.
 Ms. Naylor's novels addressed social issues including poverty, racism, sexism
 and gay rights, usually through intricately drawn black female characters.
 ''The Women of Brewster "
Indobit-A-NYT2010_501-1000-35.txt,"[""singer"", ""artist"", ""voice actor"", ""television actor"", ""musician"", ""actor"", ""vocalist""]"," LOS ANGELES
 Ilene Woods, the voice of the title character in the Walt Disney animated
 feature ''Cinderella,'' died on Thursday  in Canoga Park, Calif. She was 81.
 She died  of causes related to Alzheimer's disease, her husband, the drummer Ed
 Shaughnessy, told The Los Angeles Times.
 Ms. Woods was an 18-year-old radio singer in 1948 when two songwriter friends
 asked her to make a demonstration recording of some songs they had written for a
 planned Disney feature. Two days later, Walt Disn"
Indobit-A-NYT2014_1-500-47.txt,"[""chess player""]","
 Vugar Gashimov, a chess grandmaster from Azerbaijan, who was one of the world's
 top players for a decade and who helped lead his team to the gold medal in the
 European Team Chess Championship in 2009, died on Friday in Germany, where he
 had reportedly been receiving treatment for a brain tumor. He was 27.
 His death was reported on the website of the World Chess Federation.
 Mr. Gashimov was born on July 24, 1986, in Baku, the capital of Azerbaijan, and
 learned to play chess when he was 6 "
Indobit-A-NYT1987 - July 1 - Aug 31-44.txt,"[""politician""]","
 William S. Halstead, an inventor who was a pioneer in stereophonic broadcasting,
 died of pneumonia Tuesday at Canoga Park (Calif.) Hospital. He was 84 years old
 and lived in Woodland Hills, Calif., a Los Angeles suburb.
 On Sept. 13, 1950, Mr. Halstead and a group of associates demonstrated one of
 the first stereo broadcasts by a single FM station. The process he used allowed
 a station to use a sideband of its main frequency to broadcast secondary or
 subscription programming. The process,"
Indobit-A-NYT2003 - July 1 - Sep 30-263.txt,"[""singer"", ""artist"", ""vocalist"", ""musician""]","
 Gisele MacKenzie, the Canadian singing star of the 1950's television show ""Your
 Hit Parade,"" died on Friday in Burbank, Calif. She was 76.
 The cause was colon cancer, said her daughter, Gigi Downs.
 Although she was known mainly for her contralto voice, Ms. MacKenzie also traded
 barbs and violin riffs with Jack Benny and played the piano on her own variety
 show. On ""Your Hit Parade,"" she sang the most popular tunes of the week with her
 fellow cast members Snooky Lanson, Dorothy Collins an"
Indobit-A-NYT2000_1-500-261.txt,"[""researcher"", ""economist"", ""social scientist"", ""scientist""]","
 Justice Isaac Rubin, a former New York State appeals court judge from
 Westchester County, died Saturday in a hospice in the Bronx. He was 86 and lived
 in Rye, N.Y.
 After retiring from the bench in 1990 after 20 years, Justice Rubin continued to
 work in the court system as a judicial hearing officer for the State Supreme
 Court and its Appellate Division in Westchester.
 Until mid-January, when pancreatic cancer incapacitated him, Justice Rubin drove
 to work in White Plains.
 When Justice "
Indobit-A-NYT1984_1001-1500-497.txt,"[""basketball player""]","
 Sidney Hertzberg, a writer, editor and political activist, died of lung cancer
 Friday at the Rockland County Medical Center in Pomona, N.Y. He was 74 years old
 and lived in Palisades, N.Y.
 During a long and varied career, Mr. Hertzberg was a journalist, a publicity
 adviser in the 1936 Presidential campaign of Norman Thomas, the Socialist, and a
 speech writer in the 1968 Democratic Presidential campaign of Hubert H.
 Humphrey. He served as a publicity agent for the America First Committee "
