"OCC","term","synset"
306,"ear specialist","medical_practitioner.n.01"
306,"country doctor","medical_practitioner.n.01"
306,"quack","medical_practitioner.n.01"
306,"proctologist","medical_practitioner.n.01"
306,"woman's doctor","medical_practitioner.n.01"
306,"gynecologist","medical_practitioner.n.01"
306,"extern","medical_practitioner.n.01"
306,"radiologist","medical_practitioner.n.01"
306,"shrink","medical_practitioner.n.01"
306,"haematologist","medical_practitioner.n.01"
306,"Dr.","medical_practitioner.n.01"
306,"eye doctor","medical_practitioner.n.01"
306,"psychoanalyst","medical_practitioner.n.01"
306,"geriatrician","medical_practitioner.n.01"
306,"resident","medical_practitioner.n.01"
306,"house physician","medical_practitioner.n.01"
306,"otologist","medical_practitioner.n.01"
306,"foot doctor","medical_practitioner.n.01"
306,"gerontologist","medical_practitioner.n.01"
306,"family doctor","medical_practitioner.n.01"
306,"anesthetist","medical_practitioner.n.01"
306,"medico","medical_practitioner.n.01"
306,"otolaryngologist","medical_practitioner.n.01"
306,"physician","medical_practitioner.n.01"
306,"heart specialist","medical_practitioner.n.01"
306,"radiographer","medical_practitioner.n.01"
306,"medical specialist","medical_practitioner.n.01"
306,"oculist","medical_practitioner.n.01"
306,"doctor","medical_practitioner.n.01"
306,"pathologist","medical_practitioner.n.01"
306,"orthopaedist","medical_practitioner.n.01"
306,"aetiologist","medical_practitioner.n.01"
306,"cardiologist","medical_practitioner.n.01"
306,"brain surgeon","medical_practitioner.n.01"
306,"GP","medical_practitioner.n.01"
306,"abortionist","medical_practitioner.n.01"
306,"endodontist","medical_practitioner.n.01"
306,"veterinarian","medical_practitioner.n.01"
306,"medic","medical_practitioner.n.01"
306,"dentist","medical_practitioner.n.01"
306,"medical extern","medical_practitioner.n.01"
306,"vaccinator","medical_practitioner.n.01"
306,"chiropodist","medical_practitioner.n.01"
