fn,firstSentence,confidence
Indobit-A-NYT2004_501-1000-454.txt, the demure but sexy blond movie star of the 1950's who will always be remembered for the 45-second shower scene in which she was slashed to death in Hitchcock's ''Psycho'' in 1960
Indobit-A-NYT1988_1001-1500-258.txt, a Japanese-American who was interned on the West Coast after the Pearl Harbor attack and who later built a worldwide ship-owning business and worked for better relations between the United States and East Asian nations
Indobit-A-NYT2000_1001-1500-334.txt, the mother of the first woman to reign in Denmark in five centuries
Indobit-A-NYT2003 - April 1 - June 30-312.txt, a singer who performed with the Jamaican bands Tommy McCook and the Skatalites and Byron Lee and the Dragonaires
Indobit-A-NYT2000_1001-1500-489.txt, a documentary filmmaker
Indobit-A-NYT2004_501-1000-313.txt, a songwriter best known for his hit ''Singing the Blues
Indobit-A-NYT1994_501-1000-159.txt, the first commander of the Israeli Air Force
Indobit-A-NYT1989 - Nov 1 - Dec 31-86.txt, who helped design the interiors of several well-known New York City buildings
Indobit-A-NYT1996_1001-1500-223.txt, a professor of biology at Brooklyn College for 25 years
Indobit-A-NYT1996_501-1000-139.txt," who appeared in such films as ""Prisoner of Zenda"" and ""How to Marry a Millionaire"" in an acting career that reached from the 1920's to the 70's"
Indobit-A-NYT1985 - Oct 1 - Dec 31-58.txt, a Dante scholar best known for his English translation of the ''Divine Comedy
Indobit-A-NYT2001 - April 1 - June 30-23.txt," the co-founder and former chairman of Petroleum Helicopters Inc., an operator of commercial helicopters"
Indobit-A-NYT1991 - Jan 1 - Jan 31-72.txt, a burglar and safecracker from London's East End who gained folk-hero status as a prison escapee
Indobit-A-NYT1991 - May 1 - May 31-242.txt, an outfielder who batted .276 with six major league teams from 1938 to 1947
Indobit-A-NYT2007 - April 1 - June 30-93.txt, who fought unsuccessfully to get a $1 million New York State Lottery prize paid in a lump sum so he could use it to treat his cancer
Indobit-A-NYT1993 - March 1 - April 30-243.txt," who wrote the lyrics for ""Star Dust,"" one of the most beloved of all American popular songs"
Indobit-A-NYT2012_1-500-283.txt,
Indobit-A-NYT1996_501-1000-222.txt, a teacher and an authority on folk dance
Indobit-A-NYT1992_1-500-154.txt," former chairman of the International Trade Commission, which investigates American businesses' complaints of unfair trade practices abroad"
Indobit-A-NYT1992_1001-1500-436.txt, the manager of Consolidated Edison's Customer Outreach program
Indobit-A-NYT2003 - Jan 1 - March 31-323.txt," Austria, March 24 Cardinal Hans Hermann Groer, the former archbishop of Vienna who was forced by the Vatican to relinquish his church duties in 1998 amid allegations that he had sexually abused young boys and men"
Indobit-A-NYT1990_July to December_501-1000-56.txt," Dr. Sugarman, then attached to the Manhattan Project under Enrico Fermi, was in charge of a group of chemists who determined the efficiency of the first nuclear explosion, conducted in Alamogordo"
Indobit-A-NYT1985 - July 1 - Sep 30-6.txt," the chairman of the Pan-Africanist Congress, an antiapartheid organization banned in South Africa"
Indobit-A-NYT2007 - Jan 1 - March 31-296.txt, who recorded ''Silver Bells'' with Bing Crosby and dubbed singing voices in movie musicals
Indobit-A-NYT2003 - Oct 1 - Dec 31-216.txt," Nov. 24 Bubba Hyde, a star outfielder in the Negro leagues whose career spanned four decades"
Indobit-A-NYT1997 - Oct 1 - Dec 31-365.txt, who spent 44 years as an executive of the Bankers Trust New York Corporation
Indobit-A-NYT2011-Jan 1 - March 31-250.txt,'' and though he was only 11
Indobit-A-NYT1981 - Jan 1 - March 31-82.txt, who played Stella Dallas on the long-running radio serial of that name
Indobit-A-NYT1986_1001-1500-214.txt, who served as Illinois Attorney General for 12 years until he was convicted of tax fraud
Indobit-A-NYT2003 - April 1 - June 30-46.txt," a pioneering composer of computer-generated electronic music and a practitioner, researcher and teacher of psychoanalysis"
Indobit-A-NYT1989 - July 1 - Aug 31-116.txt, who in one term as Governor of Montana helped bring sweeping changes to the state's governmental system
Indobit-A-NYT1983 - Oct 1 - Dec 31-314.txt," a former chairman of Temple Industries Inc., and a former director of Time Inc."
Indobit-A-NYT1981 - Jan 1 - March 31-158.txt, the first President of Sri Lanka and a former Ambassador to the United States
Indobit-A-NYT2008_1-500-139.txt," who in the 1970s sitcom ''Rhoda'' played Joe, the groom whose wedding to the title character became one of the highest-rated events of its time"
Indobit-A-NYT1981 - Jan 1 - March 31-249.txt,
Indobit-A-NYT1991 - May 1 - May 31-8.txt, a retired Connecticut real-estate consultant who was director of enemy property for the United States headquarters in Japan after World War II
Indobit-A-NYT1991 - May 1 - May 31-148.txt, former director of the Connecticut Commission on Human Rights and Opportunities
Indobit-A-NYT2011-Jan 1 - March 31-208.txt," the former bassist for the rock group Alice in Chains, was found dead on Tuesday in a home near Salt Lake City's downtown"
Indobit-A-NYT1988_501-1000-248.txt, Abuna Tekle Haimanot
Indobit-A-NYT1989 - May 1 - June 30-13.txt, executive director of the National Indian Youth Council
Indobit-A-NYT1991 - Jan 1 - Jan 31-151.txt, a retired law professor at Syracuse University
Indobit-A-NYT1992_2001-2402-134.txt, who was deposed as President of Syria in 1970 and imprisoned for 22 years
Indobit-A-NYT2006_1001-1372-110.txt, who helped lead his family's pioneering foot-care company as it went public in the 1970's
Indobit-A-NYT1982_501-1000-319.txt, who starred at third base for the famed New York Yankees teams of the 1920's
Indobit-A-NYT1991 - Feb 1 - Feb 28-177.txt, a former Mayor of West Jerusalem
Indobit-A-NYT1985 - April 1 - June 30-206.txt, a professor of political science at Hunter College who wrote extensively about relations between Arabs and Jews in the Middle East
Indobit-A-NYT1990_July to December_1-500-424.txt," who founded F. Staal, the Fifth Avenue jewelry store, 50 years ago and ran it until she retired in 1983"
Indobit-A-NYT1982_1-500-96.txt, a writer and educator who won the Spanish National Prize in literature in 1935
Indobit-A-NYT1981 - April 1 - June 30-399.txt, former director of communications of the Waldorf-Astoria Hotel
Indobit-A-NYT1994_501-1000-199.txt," whose advice about skin was sought by Marilyn Monroe, Joan Crawford, Ingrid Bergman and Cary Grant"
Indobit-A-NYT1993 - Nov 1 - Dec 31-270.txt," Queens, the former director of psychiatry at Baptist Medical Center in Brooklyn"
Indobit-A-NYT2008_501-1000-190.txt, the ''Iron Lady'' of Taiwan's motor industry as chairwoman of the Yulon Group and one of the island's wealthiest women
Indobit-A-NYT1981 - April 1 - June 30-284.txt, a writer of westerns
Indobit-A-NYT1983 - Jan 1 - March 31-229.txt, a lyric soprano who sang with the San Carlo Opera Company and who founded the Guild Rehearsal Studios in the Ansonia Hotel at Broadway and 73d Street
Indobit-A-NYT2005 - July 1 - Sep 30-270.txt, who founded the supermarket chain Daiei and revolutionized Japan's retail industry
Indobit-A-NYT1999 - Oct 1 - Dec 31-133.txt, a medical riddle who inexplicably scratched himself to the point of self-mutilation and who was the center of one of the most ambitious attempts to attain an independent life for a profoundly disabled individual
Indobit-A-NYT2002_501-1000-33.txt, a professor at the University of California at Los Angeles and an authority on African-American theater who produced several exhibitions on black folk art
Indobit-A-NYT1998_1001-1500-25.txt, a pioneer in sleep studies
Indobit-A-NYT1996_1001-1500-190.txt, an Air Force major general who served as a special assistant for nuclear issues to President Ronald Reagan
Indobit-A-NYT1994_501-1000-396.txt, the scientist whose accidental invention of Teflon 50 years ago not only changed the way Americans cook but also helped develop a multibillion-dollar plastics industry
Indobit-A-NYT1988_1001-1500-439.txt, whose vivid but unblinking remembrance of four decades as the wife of Paul Tillich scandalized some of his fellow theologians in 1973
Indobit-A-NYT1995 - Nov 1 - Dec 31-227.txt, a nationally recognized expert on polling who for the last four years directed the Los Angeles Times Poll
Indobit-A-NYT1981 - July 1 - Sep 30-241.txt, who dropped out of college for lack of money and went on to build a multimillion-dollar department store chain
Indobit-A-NYT2004_1-500-363.txt, an Italian singer popular here and in Latin America
Indobit-A-NYT1987 - Sep 1 - Oct 31-120.txt, a composer and chairman of the department of music composition at Temple University for 23 years
Indobit-A-NYT1996_501-1000-306.txt, the Roman Catholic Archbishop of Algiers who denounced the torture of Arab nationalists by the French Army in the 1954-1962 war of independence
Indobit-A-NYT2007 - Oct 1 - Dec 31-271.txt, a French writer known for Surrealism and solitude and for having turned down France's top literary prize
Indobit-A-NYT2002_1001-1513-164.txt, who played 10 years in the National Hockey League and later served a prison sentence for drug smuggling
Indobit-A-NYT1992_501-1000-394.txt, a former Indonesian Cabinet Minister who became a leading opposition spokesman against President Suharto
Indobit-A-NYT1993 - Sep 1 - Oct 31-294.txt, an expert on James Joyce and Sir Arthur Conan Doyle
Indobit-A-NYT1995 - March 1 - April 30-189.txt, who wrote for several radio drama serials popular during the 1940's and 50's
Indobit-A-NYT1994_2001-2251-158.txt, a longtime teacher of the technique and dances of Isadora Duncan and her sister Elizabeth Duncan
Indobit-A-NYT1993 - March 1 - April 30-384.txt," who was the last survivor from the 1927 New York Yankees team featuring Murderers' Row, which included Babe Ruth and Lou Gehrig"
Indobit-A-NYT1980_1-500-313.txt,
Indobit-A-NYT1984_1501-1563-24.txt, who brought his passion for the English language to generations of students at Abraham Lincoln High School in Brooklyn
Indobit-A-NYT1989 - Jan 1 - Feb 28-174.txt, professor emeritus of philosophy at Columbia University and the University of California at Santa Cruz
Indobit-A-NYT1985 - July 1 - Sep 30-192.txt, President of Honduras for almost two years until he was ousted in a coup
Indobit-A-NYT1994_501-1000-177.txt," a leading guitarist, banjoist and ukulele player since the days of vaudeville"
Indobit-A-NYT1981 - April 1 - June 30-153.txt, former proprietor of La Cote Basque restaurant in Manhattan
Indobit-A-NYT1986_501-1000-387.txt,
Indobit-A-NYT2003 - Oct 1 - Dec 31-174.txt, who was involved in the negotiations for the return of American hostages from Iran
Indobit-A-NYT1991 - June 1 - June 30-175.txt," an agent who represented Burt Lancaster, Sir John Gielgud and Ingrid Bergman, among others, in a longtime Hollywood career"
Indobit-A-NYT1998_1-500-298.txt, a realist painter and portraitist
Indobit-A-NYT1995 - July 1 - Aug 31-31.txt, an American who spied for the Soviet Union and was instrumental in relaying atomic bomb secrets to the Kremlin in the 1940's
Indobit-A-NYT1997 - July 1 - Sep 30-51.txt, who broadcast Brooklyn and Los Angeles Dodgers baseball games from 1956 to 1987
Indobit-A-NYT1983 - Oct 1 - Dec 31-345.txt, the former tailback who twice led the nation in total offense at Drake University and was inducted into the Canadian Football League Hall of Fame in 1970
Indobit-A-NYT1999 - July 1 - Sep 30-346.txt," a comedy writer who helped create the long-running and perpetually rerun television show ""The Honeymooners,"" featuring Jackie Gleason"
Indobit-A-NYT2009 - Jan 1 - March 31-68.txt, the only player to win a Wimbledon championship without having to show up for the final match
Indobit-A-NYT1983 - Jan 1 - March 31-256.txt, a Rumanian-born American who was a strong contributor to the development of modern design in the United States
Indobit-A-NYT1985 - July 1 - Sep 30-310.txt, a former partner in the law firm of Hemenway & Barnes and a former director of Dow Jones & Company
Indobit-A-NYT1991 - Aug 1 - Aug 31-124.txt, a longtime New York City Opera baritone
Indobit-A-NYT1997 - April 1 - June 30-225.txt," an original staff photographer for Life magazine, who chronicled the building of the Golden Gate Bridge, the invasion of Saipan, the glamour of Hollywood and life beneath the sea"
Indobit-A-NYT1990_July to December_501-1000-203.txt, a Hungarian-born Jesuit who ran a journal on China from a student hostel at the University of Hong Kong
Indobit-A-NYT2008_1-500-200.txt," a pioneer of the imagination who transported a fantasy realm of wizards, goblins and elves onto millions of kitchen tables around the world through the game he helped create, Dungeons & Dragons"
Indobit-A-NYT2006_1-500-480.txt, who won a Latin Grammy for best singer-songwriter album in 2004 and worked to educate Hispanic women about breast cancer
Indobit-A-NYT1990_July to December_1-500-137.txt, professor emeritus of chemistry at Brooklyn College
Indobit-A-NYT2004_501-1000-322.txt, the last of the ''code talkers'' from the Meskwaki Indian tribe
Indobit-A-NYT2011-Jan 1 - March 31-85.txt, who gathered some of her high school friends into a singing group that became the Marvelettes and then sang lead vocals on ''Please Mr. Postman
Indobit-A-NYT1984_1001-1500-200.txt, former chairman of William Heinemann Ltd. and a major figure in British publishing from 1945 to his retirement in 1961
Indobit-A-NYT1981 - Oct 1 - Dec 31-113.txt," Ga., Oct. 20 (AP) - Mattie Talmadge, whose husband was elected Governor of Georgia four times and whose son was a Governor and United States Senator"
Indobit-A-NYT1991 - June 1 - June 30-124.txt, a Soviet spy whose defection in 1954 opened espionage investigations in Australia
Indobit-A-NYT1982_501-1000-275.txt, an executive with Trans World Airlines for almost 40 years
Indobit-A-NYT2009 - Jan 1 - March 31-231.txt, a former bass player with the 1970s rock hitmakers Electric Light Orchestra
Indobit-A-NYT1983 - April 1 - June 30-369.txt," the Roman Catholic Archbishop of Guatemala, and the first clergyman elevated to Cardinal in Central America"
Indobit-A-NYT2002_1-500-472.txt, who won eight PGA Tour events during a 34-year career and led the money list in 1956
Indobit-A-NYT1980_1-500-305.txt," the retired Bishop of the Diocese of Dallas, who led an increase in area Roman Catholic parishes from 35 to 117"
Indobit-A-NYT2004_501-1000-321.txt," who directed the films ''A Raisin in the Sun'' and ''Fort Apache, the Bronx'' and won Emmy Awards during a half-century career in movies and television"
Indobit-A-NYT1997 - April 1 - June 30-289.txt, whose books for young readers bore the stamp of her hardscrabble childhood in rural Arkansas
Indobit-A-NYT1983 - July 1 - Sep 30-328.txt, the jazz singer whose album ''Once in Every Life'' won a Grammy award nomination
Indobit-A-NYT2002_1001-1513-273.txt," an Emmy-winning comedy writer who worked on television shows like ""The Steve Allen Show,"" ""The Smothers Brothers Comedy Hour"" and ""The Carol Burnett Show"
Indobit-A-NYT2007 - April 1 - June 30-285.txt," known with his wife, Hilla, for photographing relics of industry in the changing urban landscapes of late-20th-century Europe and the United States"
Indobit-A-NYT2012_501-1000-97.txt," a writer for children whose Little Bear picture-book series -- which simply, gently and evocatively tells the story of an anthropomorphized cub's forays into the wider world -- has been a mainstay of childhood for more than half a century"
Indobit-A-NYT1988_501-1000-352.txt, who gained brief fame as Los Angeles's ''Hermit of Griffith Park'' in the 1950's
Indobit-A-NYT1990_July to December_501-1000-455.txt, an American realist painter who specialized in portraits and finely detailed interiors
Indobit-A-NYT2001 - Jan 1 - March 31-278.txt, who twice started the Indianapolis 500 from the pole position
Indobit-A-NYT1990_January to June_1-500-289.txt, who played a key role in exploiting broken German codes in World War II and wrote the best-selling memoir ''The Ultra Secret
Indobit-A-NYT1988_1-500-496.txt, a television comedy writer
Indobit-A-NYT2009 - Jan 1 - March 31-59.txt, the only player to win a Wimbledon championship without having to show up for the final match
Indobit-A-NYT2006_1-500-417.txt, a singer and arranger of the big band era who later became one of New York's top caterers
Indobit-A-NYT1982_1001-1500-61.txt, greatgranddaughter of Queen Victoria and a cousin of Queen Elizabeth II and Prince Philip
Indobit-A-NYT1987 - Jan 1 - March 31-73.txt," former managing partner of Lord, Abbett & Company, an investment management firm"
Indobit-A-NYT2001 - July 1 - Sep 30-383.txt, a pioneer in computer animation known for his award-winning television commercials
Indobit-A-NYT1993 - May 1 - June 30-314.txt, who served only one month as head of state
Indobit-A-NYT2006_1-500-304.txt," a songwriter and singer renowned in his native Cuba, who appeared in the film ''Buena Vista Social Club"
Indobit-A-NYT1993 - March 1 - April 30-337.txt," whose crusade in investigating his son's disappearance and death in a Chilean coup was portrayed in the film ""Missing"
Indobit-A-NYT1987 - Nov 1 - Dec 31-15.txt, a benefactor of education
Indobit-A-NYT2008_501-1000-272.txt, the middleweight boxing champion of the 1960s who fought for nearly two decades but was equally remembered for a legal dispute involving the movie depiction of his title fight with Rubin (Hurricane) Carter
Indobit-A-NYT2001 - July 1 - Sep 30-40.txt," a folk singer whose hits included ""Everybody's Talkin' "" and ""Candyman"
Indobit-A-NYT1982_1001-1500-92.txt,
Indobit-A-NYT2005 - April 1 - June 30-181.txt," the voice of the cartoon caveman Fred Flintstone, with his ''Yabba dabba doo!,'' for more than two decades"
Indobit-A-NYT1982_1501-1630-73.txt," West Germany Hans Ulrich Rudel, Nazi Germany's most decorated air ace"
Indobit-A-NYT2006_501-1000-39.txt, the Grand Ole Opry star whose hits included ''Charlie's Shoes'' and ''Cross the Brazos at Waco
Indobit-A-NYT1981 - Jan 1 - March 31-44.txt, the British Broadcasting Corporation announcer whose measured tones informed the people of Britain of the abdication of King Edward VIII and the outbreak of World War II
Indobit-A-NYT1985 - Oct 1 - Dec 31-140.txt, professor of computer science at the University of Illinois at Urbana-Champaign
Indobit-A-NYT2008_501-1000-416.txt," N.J. Dee Dee Warwick, a soul singer who won recognition for both her solo work and her performances with her older sister Dionne Warwick"
Indobit-A-NYT1982_1501-1630-91.txt, Pakistan's Minister for Kashmir and the Northern Areas
Indobit-A-NYT1981 - Oct 1 - Dec 31-192.txt, who was said to have been the New York Fire Department's last link with the horse-drawn era
Indobit-A-NYT1983 - July 1 - Sep 30-382.txt, the retired director of the Asia House Gallery who disappeared from his Manhattan home in March
Indobit-A-NYT1985 - Oct 1 - Dec 31-94.txt,
Indobit-A-NYT1990_July to December_501-1000-401.txt, the last known Confederate widow of the Civil War
Indobit-A-NYT2007 - July 1 - Sep 30-217.txt," the Italian singer whose ringing, pristine sound set a standard for operatic tenors of the postwar era"
Indobit-A-NYT1995 - March 1 - April 30-225.txt, a Canadian businessman who owned the French fashion house Pierre Balmain
Indobit-A-NYT1991 - March 1 - March 31-200.txt," who taught economics for 39 years at Haverford College in Haverford, Pa."
Indobit-A-NYT1994_501-1000-209.txt, a printer and binder of specialty books for more than 50 years
Indobit-A-NYT1990_July to December_501-1000-62.txt,
Indobit-A-NYT1988_1-500-493.txt, a former tennis champion who stirred a clothing controversy at Wimbledon 30 years ago
Indobit-A-NYT2017-April 1 - June 30-86.txt," who helped make street basketball big business when he founded a tournament in Harlem that let playground standouts share the court with professional stars in a raucous atmosphere of dazzling play, hip-hop music and exuberant crowds"
Indobit-A-NYT1996_501-1000-330.txt," a composer whose works have recently been performed in New York City, Boston and Amsterdam"
Indobit-A-NYT1988_1501-1774-88.txt, who underwent a heart transplant nearly two years ago
Indobit-A-NYT1991 - July 1 - July 31-234.txt, who served in the order for nearly six decades and was a professor at Manhattan College
Indobit-A-NYT2000_1001-1500-303.txt," an Austrian bass-baritone who was renowned for his lithe, richly toned interpretations of the German operatic and song repertory"
Indobit-A-NYT1991 - Feb 1 - Feb 28-62.txt, a former director of corporate affairs for CBS Inc.
Indobit-A-NYT1989 - Sep 1 - Oct 31-232.txt, a teacher and writer who headed the British Quaker relief effort in India
Indobit-A-NYT2003 - Jan 1 - March 31-236.txt," a film score composer and arranger who received 10 Academy Award nominations and worked on more than 200 movies and television programs, including ""Funny Girl,"" ""Mission: Impossible"" and ""White Christmas"
Indobit-A-NYT1996_1-500-293.txt, a baritone with the New York City Opera since 1962
Indobit-A-NYT1993 - Jan 1 - Feb 28-124.txt, a welterweight boxing champion in the 1940's
Indobit-A-NYT1995 - Sep 1 - Oct 31-282.txt, an educator who helped develop national strategies for working with children with dyslexia and other learning impairments
Indobit-A-NYT1984_501-1000-378.txt," a singer whose group, the Billy Williams Quartet, was a fixture on the television series ''Your Show of Shows,'' with Sid Caesar and Imogene Coca, during the 1950's"
Indobit-A-NYT1983 - July 1 - Sep 30-386.txt, a photographer whose work has been shown at the Museum of Modern Art and a teacher of photography at the University of Illinois for more than 20 years
Indobit-A-NYT2005 - Jan 1 - March 31-81.txt, a revered samba singer whose witty lyrics extolling the lives of street thugs and hustlers made him an inspiration to a generation of Brazilian hip-hop artists
Indobit-A-NYT1991 - Jan 1 - Jan 31-249.txt, who set a major league record with home runs in eight consecutive games while playing for the Pittsburgh Pirates in 1956
Indobit-A-NYT2007 - Jan 1 - March 31-81.txt, the wife of former Senator George McGovern of South Dakota
Indobit-A-NYT1998_1001-1500-260.txt," a lineal descendant of two early mayors of New York City and of the Kip family, who gave their name to the Kips Bay region"
Indobit-A-NYT1986_1-500-53.txt, co-founder with her husband of the Fortunoff store chain
Indobit-A-NYT1992_2001-2402-172.txt, an operatic soprano whose career took her from the Glyndebourne Festival in Britain during the 1930's to the slapstick comedy of Spike Jones and his City Slickers in the 1950's
Indobit-A-NYT1989 - July 1 - Aug 31-131.txt," a fashion photographer whose work appeared in Vogue, Harper's Bazaar, Good Housekeeping, McCall's, Cosmopolitan and other magazines"
Indobit-A-NYT1995 - May 1 - June 30-243.txt, a star of British silent films
Indobit-A-NYT1988_501-1000-474.txt, who invented an ice resurfacer that became a sort of mechanical celebrity for hockey fans
Indobit-A-NYT1996_1501-1947-214.txt, who reported on the plight of the poor during the Depression and celebrated the free spirits of early Americans in her fiction for children
Indobit-A-NYT1987 - Sep 1 - Oct 31-246.txt, a former Controller of Customs for the Port of New York
Indobit-A-NYT2016_501-1000-106.txt, who punted for the Jets in their Super Bowl victory over the heavily favored Baltimore Colts in 1969
Indobit-A-NYT1991 - June 1 - June 30-53.txt, a professor of mathematics at the University of Chicago
Indobit-A-NYT2002_1-500-151.txt, an Italian socialite who created her own luxury cosmetics line
Indobit-A-NYT2004_1-500-185.txt, an Emmy Award-winning director for ABC Sports
Indobit-A-NYT1989 - May 1 - June 30-397.txt, a pioneering researcher and teacher in the field of cardiovascular disease
Indobit-A-NYT1995 - March 1 - April 30-46.txt," a cameraman, documentary film maker and teacher"
Indobit-A-NYT2007 - Jan 1 - March 31-25.txt," a fiercely independent scientist whose research on turkeys led him to penguins, which in turn led him to help identify infinitesimal oceanic organisms that appear to be the most abundant on earth"
Indobit-A-NYT1991 - Nov 1 - Dec 31-189.txt, a regional executive of Merrill Lynch & Company offices in New Jersey and New York
Indobit-A-NYT1992_1001-1500-159.txt, the first President of the wealthy South Pacific republic of Nauru
Indobit-A-NYT1981 - Jan 1 - March 31-108.txt, professor emeritus and director of the department of psychiatry at the hospital of the Albert Einstein College of Medicine
Indobit-A-NYT1995 - Sep 1 - Oct 31-307.txt," whose outpouring of poetry paired technical mastery with a witty, earthy sensibility"
Indobit-A-NYT1983 - Oct 1 - Dec 31-70.txt," the wife of Richard J. Hughes, the former Governor and State Supreme Court Chief Justice"
Indobit-A-NYT1999 - July 1 - Sep 30-34.txt," a parachutist who frustrated the police and entertained the public with daredevil leaps from some of the world's tallest buildings, including the World Trade Center, the Empire State Building and the Chrysler Building in New York, was killed on Tuesday after he miscalculated a stunt jump from a cliff in Norway"
Indobit-A-NYT1994_1001-1500-234.txt, a Briton who figured in a confrontation known as the Corfu incident
Indobit-A-NYT1986_1001-1500-350.txt, a folk singer known as Moishe who specialized in Yiddish and Russian material
Indobit-A-NYT2002_1-500-90.txt, a pioneer in radio astronomy who discovered incredibly powerful sources of radio waves in outer space
Indobit-A-NYT1980_1-500-433.txt, a philanthropist who was active in civic affairs and as a clubwoman
Indobit-A-NYT2008_1001-1185-63.txt," the lead singer with the rock group the Classics IV, which in the late 1960s and early '70s challenged the then-ascendant music of drugs and protest with a more laid-back, softer sound in Top 10 hits like ''Spooky,'' ''Stormy'' and ''Traces of Love"
Indobit-A-NYT1991 - June 1 - June 30-101.txt," a business executive whose companies included La Petite Academy, a chain of child-care centers"
Indobit-A-NYT2007 - April 1 - June 30-147.txt, a screenwriter blacklisted during Hollywood's anti-Communist crusade in the 1950s
Indobit-A-NYT2011-Jan 1 - March 31-143.txt," who founded Bogle Vineyards in 1979 with her husband, Chris, and built it into the 14th-largest winery in the nation"
Indobit-A-NYT1995 - May 1 - June 30-8.txt," a director who was blacklisted in the United States before moving to Britain and filming the bloody epic ""Zulu"
Indobit-A-NYT1990_July to December_1-500-425.txt, a retired chairwoman of the art department of Queensborough Community College of the City University of New York
Indobit-A-NYT1987 - Jan 1 - March 31-299.txt, one of television's most prolific and respected writers
Indobit-A-NYT1990_July to December_1-500-300.txt, emeritus professor of organic chemistry and former director of the Low Temperature Laboratory at Pennsylvania State University
Indobit-A-NYT1995 - May 1 - June 30-299.txt, known to the poor and homeless of New York City for a simple act of charity he performed for 30 years on its meanest street
Indobit-A-NYT1989 - May 1 - June 30-350.txt, who was active in Westchester County charities
Indobit-A-NYT2004_501-1000-128.txt, a businessman whose donation of a $30 million building to the Borough of Manhattan Community College in 1993 was one of the largest gifts ever to a community college
Indobit-A-NYT1991 - Nov 1 - Dec 31-262.txt, the Cleveland third baseman whose backhanded stops of two hard grounders helped end Joe DiMaggio's 56-game hitting streak in 1941
Indobit-A-NYT2004_501-1000-122.txt, who did opera translations for the Metropolitan's seat-back subtitling system
Indobit-A-NYT2006_501-1000-363.txt," Bismillah Khan, who popularized the use of the shehnai, the Indian oboe"
Indobit-A-NYT1982_501-1000-191.txt, professor of archeology and former chairman of classical and Oriental studies at Hunter College
Indobit-A-NYT2015- April 1 - June 30-36.txt, one of Turkey's most popular singers and songwriters
Indobit-A-NYT2006_1001-1372-30.txt," who for 40 years, under the name George Edwards, was the host of the ''Bright and Early'' program on WQXR, the classical radio station owned by The New York Times Company"
Indobit-A-NYT1984_1001-1500-92.txt, the world welterweight boxing champion in 1931
Indobit-A-NYT2000_1-500-302.txt, an exemplar of the strain of painterly representation that runs through the history of postwar American art
Indobit-A-NYT1995 - March 1 - April 30-184.txt, a retired Manhattan antiques dealer and expert on early American glassware
Indobit-A-NYT1982_501-1000-441.txt, director of the British Ministry of Supply Mission in the United States during World War II
Indobit-A-NYT1988_1001-1500-431.txt, a former executive director of Long Island Jewish Hospital
Indobit-A-NYT1990_July to December_1-500-326.txt," manager of creative services for MBI Inc., a direct marketing company in Norwalk, Conn."
Indobit-A-NYT1987 - Sep 1 - Oct 31-203.txt, the Brazilian Army Chief of Staff
Indobit-A-NYT1990_July to December_1001-1500-267.txt, chairman of the Nature Conservancy and a former Wisconsin businessman
Indobit-A-NYT2016_1-500-50.txt, the last known survivor of the San Francisco earthquake and fires of 1906
Indobit-A-NYT1994_1-500-397.txt," a businessman who owned warehouses, factories and other industrial buildings and was chairman of Sattler's department stores"
Indobit-A-NYT1991 - Feb 1 - Feb 28-178.txt, artistic director of the Indiana Repertory Theater
Indobit-A-NYT1994_501-1000-257.txt, a real-estate sales executive
Indobit-A-NYT2001 - Oct 1 - Dec 31-232.txt," who wrote the lyrics for ""The Bristol Stomp"" and other 50's dance hits"
Indobit-A-NYT1992_1-500-114.txt, the bass player in Elton John's original rock-and-roll band
Indobit-A-NYT2008_1001-1185-21.txt, one of the first commercially successful and nationally recognized rappers from the Midwest
Indobit-A-NYT2000_1001-1500-59.txt, who published a magazine that became a symbol of opposition to Gen. Francisco Franco
Indobit-A-NYT1993 - Nov 1 - Dec 31-116.txt," a virus that causes 4,500 deaths and 90"
Indobit-A-NYT2008_501-1000-425.txt," Ga. Col. Robert B. Nett, who received the Medal of Honor for heroism in combat in the Philippines during World War II and later served in the Korean and Vietnam Wars"
Indobit-A-NYT1988_1-500-9.txt, a Lutheran theologian known for his work on religion and ecology
Indobit-A-NYT1983 - July 1 - Sep 30-297.txt, a former New York University professor of dramatic arts
Indobit-A-NYT1982_501-1000-145.txt, a leading contract bridge player and teacher
Indobit-A-NYT1983 - Jan 1 - March 31-351.txt, former director of field work for the social sciences department of Vassar College
Indobit-A-NYT2009 - July 1 - Sep 30-269.txt, who provided the inspiration for the Beatles' song ''Lucy in the Sky With Diamonds
Indobit-A-NYT1989 - May 1 - June 30-96.txt, director emeritus of the Brooklyn Public Library
Indobit-A-NYT1989 - July 1 - Aug 31-192.txt," director of social work at the National Rehabilitation Hospital in Washington, which specializes in treating injuries and neurological disorders"
Indobit-A-NYT1995 - May 1 - June 30-266.txt, the daughter of the former Kansas City Royals shortstop Freddie Patek
Indobit-A-NYT1984_501-1000-143.txt, a photographer whose work was shown in several countries
Indobit-A-NYT1987 - Jan 1 - March 31-372.txt, a women's amateur tennis star in the 1930's
Indobit-A-NYT1987 - April 1 - June 30-381.txt, a leading practitioner and popularizer of technical analysis of stock prices
Indobit-A-NYT1993 - March 1 - April 30-235.txt, a former marketing executive in cosmetics and advertising
Indobit-A-NYT1982_1001-1500-18.txt, who served as assistant to the chairman of American Home Products
