c,p,r,rev,y
Dresser Industries,39.5,154.0,789.1,1977
Furniture Brands Intl.,27.6,155.0,777.9,1977
Phelps Dodge,112.6,156.0,775.3,1977
Ingersoll-Rand,65.5,157.0,765.8,1977
Avon Products,99.0,158.0,759.2,1977
Avco,21.3,159.0,757.8,1977
Scott Paper,49.2,160.0,755.7,1977
Whitman,36.3,161.0,753.8,1977
Merck,113.5,162.0,747.6,1977
Asarco,111.7,163.0,717.8,1977
Iowa Beef Processors,0.6,164.0,716.3,1977
White Consolidated Industries,-10.6,165.0,709.3,1977
United Merchants & Mfrs.,17.1,166.0,708.2,1977
Squibb,48.7,167.0,705.4,1977
Dart Industries,92.2,168.0,703.3,1977
Hormel Foods,9.9,169.0,695.8,1977
Pullman,10.9,170.0,685.1,1977
Otis Elevator,23.7,171.0,681.6,1977
Del Monte Foods,14.4,172.0,681.5,1977
Crane,8.3,173.0,680.2,1977
Central Soya,18.5,174.0,678.6,1977
Pillsbury,17.0,175.0,674.4,1977
Gillette,66.1,176.0,672.7,1977
Walter Industries,21.6,177.0,672.1,1977
Clark Equipment,35.3,178.0,671.0,1977
Dana,35.6,179.0,668.0,1977
Quantum Chemical,32.7,180.0,667.3,1977
Coltec Industries,13.3,181.0,665.6,1977
Pet,16.6,182.0,658.6,1977
Emerson Electric,54.6,183.0,657.0,1977
Land O'Lakes,N.A.,184.0,654.3,1977
Anderson Clayton,12.4,185.0,639.1,1977
AMF,36.7,186.0,635.7,1977
Time Warner,20.6,187.0,632.6,1977
McGraw-Edison,30.0,188.0,631.1,1977
Northrop Grumman,19.9,189.0,626.9,1977
Oscar Mayer,15.1,190.0,622.7,1977
Kellogg,49.6,191.0,614.4,1977
Farmland Industries,N.A.,192.0,612.8,1977
GAF,14.7,193.0,598.7,1977
Agway,N.A.,194.0,597.9,1977
Quaker Oats,28.1,195.0,597.7,1977
Sterling Drug,57.3,196.0,594.4,1977
Carrier,24.1,197.0,594.1,1977
Corning,39.5,198.0,593.7,1977
Eli Lilly,94.4,199.0,592.3,1977
Essex International,23.6,200.0,588.5,1977
Manville,33.4,201.0,578.2,1977
Zenith Electronics,24.7,202.0,573.1,1977
Lear Siegler,23.7,203.0,566.4,1977
Ethyl,37.2,204.0,556.9,1977
Maxus Energy,31.2,205.0,555.8,1977
Evans Products,11.4,206.0,553.2,1977
North American Philips,8.8,207.0,547.1,1977
Control Data,-3.2,208.0,539.5,1977
Koppers,11.7,209.0,532.8,1977
Liggett Group,28.8,210.0,529.9,1977
Kerr-McGee,35.9,211.0,527.5,1977
Amstar,13.6,212.0,527.3,1977
Sherwin-Williams,15.1,213.0,525.8,1977
Lever Brothers,8.8,214.0,525.0,1977
Wheeling Pittsburgh,4.8,215.0,523.0,1977
Budd,-20.6,216.0,515.4,1977
Allegheny International,14.8,217.0,515.0,1977
Imcera Group,4.5,218.0,505.9,1977
Diamond International,34.6,219.0,505.0,1977
City Investing,47.7,220.0,504.9,1977
Castle & Cooke,17.6,221.0,496.9,1977
J.E. Seagram,28.6,222.0,496.0,1977
Magnavox,26.0,223.0,494.4,1977
Universal Oil Products,5.6,224.0,494.3,1977
Loews,27.6,225.0,490.4,1977
Kayser-Roth,15.3,226.0,489.7,1977
Cluett Peabody,10.3,227.0,488.0,1977
Owens Corning,20.6,228.0,487.0,1977
Armstrong Holdings,17.8,229.0,485.8,1977
Stauffer Chemical,26.0,230.0,482.5,1977
Times Mirror,30.1,231.0,481.8,1977
Fruit of the Loom,-227.3,232.0,480.3,1977
Cerro,18.6,233.0,474.8,1977
BOC,6.5,234.0,469.7,1977
Jos. Schlitz Brewing,29.1,235.0,462.4,1977
Union Camp,30.8,236.0,462.2,1977
USG,24.0,237.0,461.6,1977
Abbott Laboratories,40.0,238.0,457.5,1977
Ikon Office Solutions,12.8,239.0,455.6,1977
Eltra,20.9,240.0,454.4,1977
Brunswick,18.5,241.0,450.4,1977
Fruehauf,17.8,242.0,450.1,1977
Cummins,20.4,243.0,448.5,1977
Rohm & Haas,25.4,244.0,445.3,1977
Scovill,12.8,245.0,444.5,1977
Archer Daniels Midland,8.7,246.0,443.4,1977
Paccar,14.8,247.0,442.7,1977
Aeroquip-Vickers,22.6,248.0,429.7,1977
USM,18.6,249.0,429.7,1977
Brown Shoe,17.5,250.0,429.5,1977
Tecumseh Products,21.0,251.0,426.8,1977
Polaroid,61.1,252.0,426.5,1977
Ward Foods,-2.9,253.0,426.2,1977
AM International,15.7,254.0,420.5,1977
Westvaco,17.1,255.0,420.3,1977
Crown Holdings,25.9,256.0,414.2,1977
Indian Head,12.2,257.0,413.6,1977
Pennwalt Corp,12.4,258.0,413.4,1977
A.O. Smith,9.4,259.0,413.1,1977
MacMillan,7.8,260.0,400.3,1977
Sunbeam/Oster,14.2,261.0,399.3,1977
National Gypsum,14.0,262.0,398.4,1977
Pharmacia,37.7,263.0,397.7,1977
McGraw-Hill,22.6,264.0,394.8,1977
Kaiser Steel,19.7,265.0,393.2,1977
Schering-Plough,50.5,266.0,391.2,1977
Foster Wheeler,4.9,267.0,390.6,1977
Timken,28.6,268.0,389.2,1977
GK Technologies,15.6,269.0,386.6,1977
M. Lowenstein,8.3,270.0,386.6,1977
Intl. Multifoods,6.6,271.0,382.2,1977
Richardson-Vicks,31.9,272.0,380.6,1977
Harris,20.7,273.0,379.6,1977
Kelsey-Hayes,5.1,274.0,378.9,1977
National Industries,-17.0,275.0,374.9,1977
WestPoint Stevens,8.7,276.0,373.9,1977
Revlon,27.8,277.0,373.5,1977
National Can,15.0,278.0,372.5,1977
Chromalloy American,13.7,279.0,371.7,1977
Admiral,-16.1,280.0,368.5,1977
Di Giorgio,3.2,281.0,365.6,1977
Hartmarx,11.4,282.0,363.4,1977
Cudahy,6.4,283.0,362.3,1977
Akzona,25.1,284.0,362.0,1977
Norton,11.3,285.0,359.3,1977
Bemis,-0.2,286.0,358.6,1977
Ex-Cell-O,15.3,287.0,357.0,1977
A-T-O,7.5,288.0,356.3,1977
Great Northern Nekoosa,16.5,289.0,355.3,1977
Flintkote,10.1,290.0,354.8,1977
American Beef Packers,0.4,291.0,353.5,1977
Hammermill Paper,9.4,292.0,352.4,1977
"Libby, McNeill & Libby",-7.7,293.0,350.7,1977
Hygrade Food Products,3.7,294.0,350.6,1977
Hershey Foods,18.9,295.0,349.6,1977
Collins Radio,0.4,296.0,349.0,1977
Gold Kist Holdings,N.A.,297.0,347.9,1977
Hewlett-Packard,23.1,298.0,347.3,1977
US Pharmaceuticals,43.7,299.0,347.0,1977
Gould,15.3,300.0,347.0,1977
Allied Mills,8.2,301.0,347.0,1977
Hoover,17.9,302.0,346.7,1977
Heublein,17.4,303.0,344.7,1977
Bangor Punta,-0.5,304.0,337.5,1977
ACF Industries,18.5,305.0,333.7,1977
Apogent Technologies,12.6,306.0,333.2,1977
R.R. Donnelley & Sons,22.9,307.0,331.2,1977
Campbell Taggart,9.4,308.0,330.4,1977
Interlake,10.7,309.0,330.0,1977
GATX,33.9,310.0,329.9,1977
Revere Copper & Brass,9.1,311.0,328.3,1977
Metromedia International,9.9,312.0,327.8,1977
Levi Strauss,18.4,313.0,327.8,1977
Dairylea Cooperative,N.A.,314.0,327.3,1977
Reliance Electric,14.1,315.0,326.4,1977
Purex Industries,4.3,316.0,325.3,1977
Diversified Industries,-0.7,317.0,322.6,1977
Thiokol,22.6,318.0,320.7,1977
Dayco,6.6,319.0,320.4,1977
Coastal,32.0,320.0,320.0,1977
Potlatch,11.0,321.0,319.3,1977
National Service Industries,18.2,322.0,318.9,1977
American Bakeries,2.4,323.0,314.3,1977
Fairmont Foods,5.3,324.0,313.9,1977
Ampex,12.2,325.0,313.6,1977
I-T-E Imperial,13.4,326.0,313.1,1977
CBI Industries,13.8,327.0,311.6,1977
Spencer Foods,1.2,328.0,310.5,1977
Springs Industries,6.2,329.0,308.4,1977
Staley Continental,8.4,330.0,306.6,1977
Cannon Mills,15.6,331.0,306.4,1977
Mohasco,8.5,332.0,305.9,1977
Inmont,-18.4,333.0,305.5,1977
Outboard Marine,13.4,334.0,304.5,1977
U.S. Shoe,10.1,335.0,303.2,1977
Carborundum,14.2,336.0,302.0,1977
Rexnord,12.3,337.0,300.2,1977
Cone Mills,4.8,338.0,297.8,1977
Bell & Howell,11.0,339.0,297.8,1977
Chemetron,7.6,340.0,297.0,1977
Miles Laboratories,10.6,341.0,296.5,1977
Fedders,15.6,342.0,295.8,1977
Dan River,-1.0,343.0,293.3,1977
Anchor Hocking,19.0,344.0,293.2,1977
Talley Industries,2.7,345.0,292.6,1977
Kane-Miller,3.2,346.0,292.4,1977
Champion Spark Plug,29.8,347.0,290.2,1977
ESB,11.1,348.0,288.8,1977
Mattel,12.1,349.0,288.6,1977
Eastern Gas & Fuel Associates,32.7,350.0,288.6,1977
Rohr,10.8,351.0,288.3,1977
Commercial Metals,3.0,352.0,287.6,1977
Sundstrand,8.1,353.0,287.5,1977
Avnet,7.0,354.0,286.6,1977
Rath Packing,1.6,355.0,280.1,1977
Rockwell Manufacturing,12.1,356.0,279.5,1977
Curtiss-Wright,-4.6,357.0,279.0,1977
H.K. Porter,-1.9,358.0,278.9,1977
Pitney Bowes,12.0,359.0,278.2,1977
Jonathan Logan,9.4,360.0,277.2,1977
Thomas J. Lipton,17.3,361.0,276.9,1977
Stokely-Van Camp,4.3,362.0,274.6,1977
Amsted Industries,8.1,363.0,274.0,1977
Joy Technologies,13.2,364.0,273.4,1977
Simmons,9.1,365.0,271.4,1977
Harsco,15.9,366.0,270.5,1977
Pabst Brewing,23.3,367.0,270.2,1977
Premcor,10.7,368.0,270.0,1977
Cincinnati Milacron,15.4,369.0,270.0,1977
Fairchild Industries,6.4,370.0,269.1,1977
Howmet,13.7,371.0,267.4,1977
Kellwood,5.1,372.0,266.3,1977
Lone Star Industries,16.9,373.0,264.7,1977
Questor,5.9,374.0,264.0,1977
Air Products & Chem.,15.0,375.0,261.4,1977
Chesebrough-Pond's,20.9,376.0,261.0,1977
FINA,22.1,377.0,260.8,1977
NVF,2.0,378.0,259.8,1977
Square D,25.3,379.0,259.4,1977
Norris Industries,11.4,380.0,258.7,1977
General Instrument,4.5,381.0,258.1,1977
Stanley Works,12.5,382.0,257.6,1977
Black & Decker,19.5,383.0,255.4,1977
Interstate Brands,4.7,384.0,255.1,1977
Midland-Ross,2.9,385.0,253.7,1977
Certainteed,0.9,386.0,253.6,1977
Cabot,16.8,387.0,252.5,1977
Insilco,11.5,388.0,251.8,1977
Federal-Mogul,12.0,389.0,251.1,1977
Hoerner Waldorf,13.8,390.0,250.4,1977
Knight-Ridder,13.6,391.0,248.4,1977
Tyco Laboratories,5.2,392.0,247.1,1977
Phillips-Van Heusen,6.2,393.0,246.1,1977
Trane,17.6,394.0,245.2,1977
ConAgra Foods,5.0,395.0,245.1,1977
Flavorland Industries,0.5,396.0,244.6,1977
Great Western United,10.3,397.0,241.2,1977
Cyclops Industries,1.6,398.0,240.6,1977
Cutler-Hammer,6.6,399.0,239.4,1977
Blue Bell,9.6,400.0,238.8,1977
Maremont,3.2,401.0,238.3,1977
Kendall,9.3,402.0,237.6,1977
Warnaco Group,0.2,403.0,237.5,1977
Witco,10.6,404.0,237.2,1977
Koehring,4.8,405.0,237.1,1977
Armour-Dial,13.4,406.0,234.2,1977
New York Times,9.8,407.0,231.9,1977
Bunker Ramo,9.1,408.0,231.8,1977
Grolier,11.9,409.0,231.6,1977
Robertson-Ceco,6.4,410.0,231.4,1977
Republic,-13.7,411.0,229.4,1977
Vulcan Materials,11.6,412.0,229.0,1977
Eagle-Picher Industries,10.1,413.0,227.7,1977
Cessna Aircraft,9.3,414.0,227.1,1977
Emhart,13.6,415.0,227.0,1977
VF,10.0,416.0,226.5,1977
AMP,24.5,417.0,225.8,1977
Commonwealth Oil Refining,18.1,418.0,224.2,1977
Cooper Industries,12.4,419.0,223.4,1977
Collins & Aikman,11.4,420.0,222.8,1977
Becton Dickinson,17.4,421.0,221.5,1977
MBPXL,1.5,422.0,219.9,1977
Hyster,11.5,423.0,219.5,1977
Texasgulf,45.8,424.0,219.5,1977
Fairchild Camera & Instrument,-19.3,425.0,219.1,1977
Todd Shipyards,5.4,426.0,218.4,1977
Gerber Products,15.5,427.0,217.2,1977
DeSoto,5.2,428.0,215.6,1977
Newmont Mining,75.2,429.0,214.8,1977
Peter Eckrich & Sons,4.6,430.0,213.3,1977
Hobart,11.4,431.0,212.0,1977
Parker Hannifin,10.0,432.0,211.6,1977
Fieldcrest Cannon,7.8,433.0,211.6,1977
Skyline,11.1,434.0,211.0,1977
American Chain & Cable,4.8,435.0,210.7,1977
Penn-Dixie Industries,0.5,436.0,206.1,1977
Thiokol,4.3,437.0,205.8,1977
Household Manufacturing,6.0,438.0,205.6,1977
Keystone Consolidated Industries,4.0,439.0,205.2,1977
Roper,4.7,440.0,204.3,1977
Applera,8.1,441.0,203.5,1977
Hanna Mining,28.1,442.0,203.4,1977
Signode,12.3,443.0,203.2,1977
G.D. Searle,31.9,444.0,201.5,1977
Sheller-Globe,4.5,445.0,201.0,1977
McLouth Steel,-15.9,446.0,200.2,1977
Automation Industries,-10.2,447.0,198.6,1977
Granite City Steel,3.6,448.0,198.0,1977
Green Giant,4.3,449.0,197.5,1977
Inland Container,7.0,450.0,197.2,1977
Allied Products,-2.0,451.0,196.8,1977
American Hoist & Derrick,2.1,452.0,196.7,1977
Varian Associates,4.7,453.0,196.0,1977
Trans Union,21.2,454.0,195.0,1977
Brockway,14.2,455.0,194.5,1977
Gardner-Denver,23.3,456.0,193.9,1977
Wean United,-3.3,457.0,193.2,1977
General Signal,8.9,458.0,193.2,1977
General Host,-12.0,459.0,193.1,1977
Riegel Paper,-4.9,460.0,191.3,1977
Ceco Industries,6.6,461.0,189.1,1977
Houdaille Industries,6.8,462.0,187.9,1977
Briggs & Stratton,14.5,463.0,187.8,1977
Congoleum,2.2,464.0,187.7,1977
Baxter International,14.3,465.0,187.6,1977
Max Factor,16.5,466.0,187.5,1977
F. & M. Schaefer,5.8,467.0,186.8,1977
Rheingold,5.8,468.0,186.7,1977
Armstrong Rubber,3.9,469.0,186.1,1977
Masonite,17.0,470.0,185.1,1977
Lubrizol,21.9,471.0,183.6,1977
Arcata,10.8,472.0,181.3,1977
Instrument Systems,0.6,473.0,180.0,1977
Easco,5.8,474.0,179.9,1977
E.T. Barwick Industries,5.5,475.0,179.2,1977
Johnson Service,8.9,476.0,178.8,1977
National Homes,5.7,477.0,178.5,1977
Capitol Industries,8.7,478.0,178.1,1977
Reichhold Chemicals,3.2,479.0,177.9,1977
Hanes,6.3,480.0,177.1,1977
Wm. Wrigley Jr.,15.2,481.0,176.8,1977
Farmers Union Central Exchange,N.A.,482.0,175.3,1977
Hoover Universal,7.1,483.0,174.7,1977
Carpenter Technology,11.1,484.0,174.4,1977
Keebler,2.7,485.0,174.1,1977
Maytag,22.7,486.0,173.7,1977
Sanders Associates,0.8,487.0,173.4,1977
Willamette Industries,10.9,488.0,172.9,1977
Interpace,7.1,489.0,172.5,1977
Pneumo Dynamics,2.6,490.0,172.2,1977
Crown Central,3.5,491.0,172.2,1977
Western Publishing Group,3.9,492.0,171.5,1977
Beech Aircraft,-7.7,493.0,169.8,1977
Fibreboard,1.2,494.0,169.7,1977
Nalco Chemical,15.4,495.0,169.5,1977
General Refractories,4.7,496.0,169.4,1977
Athlone Industries,0.6,497.0,168.4,1977
Alberto-Culver,8.1,498.0,167.8,1977
Triangle Industries,0.5,499.0,166.7,1977
Arvin Industries,2.7,500.0,165.8,1977
General Motors,1935.7,1.0,28263.9,1978
Exxon Mobil,1461.6,2.0,18700.6,1978
Ford Motor,656.7,3.0,16433.0,1978
General Electric,471.8,4.0,9425.3,1978
Intl. Business Machines,1078.8,5.0,8273.6,1978
Mobil,540.8,6.0,8243.0,1978
Chrysler,83.7,7.0,7999.3,1978
Texaco,903.9,8.0,7529.1,1978
ITT Industries,336.8,9.0,7345.8,1978
AT&T Technologies,258.4,10.0,6045.2,1978
Gulf Oil,561.4,11.0,5940.0,1978
ChevronTexaco,511.1,12.0,5143.3,1978
U.S. Steel,154.5,13.0,4928.2,1978
CBS,175.3,14.0,4630.5,1978
Amoco,341.7,15.0,4054.3,1978
Shell Oil,244.5,16.0,3892.4,1978
DuPont,356.5,17.0,3848.2,1978
RCA,-155.8,18.0,3711.8,1978
Goodyear Tire & Rubber,170.2,19.0,3601.6,1978
LTV,-57.4,20.0,3358.8,1978
Procter & Gamble,237.6,21.0,3178.1,1978
Atlantic Richfield,198.7,22.0,3134.9,1978
Conoco,109.4,23.0,3051.1,1978
Boeing,42.2,24.0,3039.8,1978
Union Carbide,157.8,25.0,3037.5,1978
Navistar International,45.2,26.0,3016.3,1978
Esmark,34.1,27.0,2996.2,1978
Eastman Kodak,419.3,28.0,2975.9,1978
Bethlehem Steel,139.2,29.0,2963.6,1978
Kraft,91.3,30.0,2959.6,1978
Lockheed Martin,15.4,31.0,2852.4,1978
Tenneco Automotive,184.0,32.0,2840.6,1978
Greyhound,70.5,33.0,2616.1,1978
Firestone Tire & Rubber,120.3,34.0,2483.6,1978
Litton Industries,50.0,35.0,2466.1,1978
Occidental Petroleum,-67.0,36.0,2400.0,1978
ConocoPhillips,132.3,37.0,2363.2,1978
General Foods,118.7,38.0,2281.9,1978
Rockwell Automation,68.6,39.0,2210.7,1978
Caterpillar,128.3,40.0,2175.2,1978
Singer,70.8,41.0,2099.5,1978
Monsanto,93.7,42.0,2087.1,1978
Continental Group,72.9,43.0,2081.6,1978
Borden Chemical,60.5,44.0,2069.7,1978
McDonnell Douglas,80.9,45.0,2069.1,1978
Dow Chemical,154.7,46.0,2052.7,1978
Sealed Air,43.3,47.0,2048.9,1978
United Technologies,-43.9,48.0,2028.8,1978
Rapid-American,13.0,49.0,1990.6,1978
Unocal,114.7,50.0,1981.4,1978
International Paper,54.6,51.0,1969.5,1978
Xerox,212.6,52.0,1961.4,1978
Honeywell,69.3,53.0,1946.1,1978
Sunoco,151.6,54.0,1938.8,1978
American Can,50.1,55.0,1897.0,1978
General Dynamics,22.0,56.0,1868.8,1978
3M,210.7,57.0,1829.2,1978
Beatrice,62.1,58.0,1827.3,1978
Nabisco Group Holdings,225.9,59.0,1816.6,1978
Citgo Petroleum,104.5,60.0,1809.9,1978
OfficeMax,-85.2,61.0,1785.9,1978
Ralston Purina,50.9,62.0,1746.1,1978
Sperry,72.3,63.0,1739.4,1978
Coca-Cola,167.8,64.0,1728.8,1978
Burlington Industries Equity,40.1,65.0,1727.0,1978
ARMCO,50.7,66.0,1696.2,1978
Sara Lee,59.4,67.0,1688.9,1978
Uniroyal,43.1,68.0,1677.7,1978
Fortune Brands,119.4,69.0,1626.8,1978
Ashland,23.8,70.0,1614.0,1978
Bendix,42.1,71.0,1612.8,1978
Textron,71.8,72.0,1603.7,1978
Champion International,45.8,73.0,1599.8,1978
Gulf & Western Industries,55.6,74.0,1566.3,1978
TRW,67.3,75.0,1543.6,1978
National Intergroup,48.7,76.0,1522.1,1978
Owens-Illinois,59.6,77.0,1507.6,1978
Bestfoods,51.6,78.0,1500.5,1978
NCR,1.3,79.0,1465.7,1978
Chiquita Brands Intl.,-24.0,80.0,1448.9,1978
Georgia-Pacific,86.3,81.0,1447.3,1978
Alcoa,55.3,82.0,1441.2,1978
Wyeth,160.0,83.0,1429.3,1978
American Standard,-83.8,84.0,1409.7,1978
U.S. Industries,72.7,85.0,1406.8,1978
BP America,54.7,86.0,1393.8,1978
Republic Steel,1.4,87.0,1384.8,1978
FMC,38.8,88.0,1353.6,1978
Amerada Hess,133.2,89.0,1349.2,1978
Warner-Lambert,108.1,90.0,1346.1,1978
Getty Oil,130.9,91.0,1343.4,1978
Honeywell Intl.,55.3,92.0,1325.9,1978
Colgate-Palmolive,44.9,93.0,1309.6,1978
Raytheon,35.2,94.0,1307.8,1978
Genesco,15.9,95.0,1306.8,1978
Goodrich,1.7,96.0,1300.3,1978
Weyerhaeuser,113.9,97.0,1299.5,1978
American Cyanamid,94.1,98.0,1283.5,1978
Signal Companies,28.7,99.0,1280.8,1978
Whirlpool,50.4,100.0,1274.5,1978
Ryerson Tull,47.8,101.0,1253.6,1978
CBS,59.1,102.0,1248.0,1978
PPG Industries,47.2,103.0,1238.5,1978
Celanese,-22.7,104.0,1236.1,1978
American Motors,10.2,105.0,1232.6,1978
PepsiCo,62.7,106.0,1225.4,1978
Altria Group,101.5,107.0,1210.0,1978
Deere,63.3,108.0,1188.1,1978
Marathon Oil,68.2,109.0,1182.5,1978
BorgWarner,47.4,110.0,1148.2,1978
Carnation,50.2,111.0,1148.2,1978
Olin,24.6,112.0,1145.1,1978
Johnson & Johnson,101.8,113.0,1140.5,1978
General Mills,43.9,114.0,1120.1,1978
Teledyne,56.2,115.0,1101.9,1978
Reynolds Metals,3.9,116.0,1093.2,1978
Nabisco Brands,49.9,117.0,1070.4,1978
Bristol-Myers Squibb,75.8,118.0,1066.4,1978
Combustion Engineering,35.8,119.0,1066.3,1978
Standard Brands,39.7,120.0,1057.5,1978
Mead,23.3,121.0,1056.0,1978
Kennecott,87.2,122.0,1053.4,1978
Norton Simon,41.8,123.0,1052.4,1978
Ogden,15.8,124.0,1042.8,1978
Eaton,57.0,125.0,1035.7,1978
Campbell Soup,67.2,126.0,1031.5,1978
Iowa Beef Processors,3.8,127.0,1015.1,1978
GenCorp,48.8,128.0,994.2,1978
H.J. Heinz,37.7,129.0,989.7,1978
Crown Zellerbach,30.5,130.0,986.4,1978
Babcock & Wilcox,20.7,131.0,959.1,1978
Martin Marietta,56.5,132.0,958.8,1978
Pfizer,90.6,133.0,951.5,1978
Anaconda,-356.4,134.0,946.5,1978
Kimberly-Clark,-10.8,135.0,938.0,1978
Unisys,74.2,136.0,932.7,1978
Motorola,31.8,137.0,926.6,1978
NL Industries,3.3,138.0,925.0,1978
St. Regis,18.2,139.0,908.4,1978
Kaisertech,19.5,140.0,904.5,1978
Anheuser-Busch,71.6,141.0,902.5,1978
Lykes,9.0,142.0,901.7,1978
Safety-Kleen,-2.2,143.0,875.1,1978
Avon Products,109.1,144.0,873.2,1978
J.P. Stevens,-0.6,145.0,861.1,1978
Allis-Chalmers,5.2,146.0,853.5,1978
Associated Milk Producers,N.A.,147.0,853.4,1978
Furniture Brands Intl.,31.5,148.0,847.4,1978
White Motor,-13.5,149.0,837.9,1978
Squibb,63.5,150.0,830.2,1978
Merck,127.2,151.0,828.5,1978
Hercules,55.1,152.0,811.9,1978
Dart Industries,47.7,153.0,808.9,1978
Studebaker-Worthington,31.2,154.0,806.8,1978
Dresser Industries,33.0,155.0,805.2,1978
Ingersoll-Rand,64.7,156.0,802.3,1978
Grumman,-18.0,157.0,799.0,1978
Crane,11.2,158.0,791.5,1978
Otis Elevator,24.8,159.0,789.6,1978
Whitman,13.5,160.0,776.6,1978
Texas Instruments,33.7,161.0,764.3,1978
AMAX,51.6,162.0,756.9,1978
American Broadcasting,13.2,163.0,756.5,1978
Del Monte Foods,21.2,164.0,751.9,1978
Central Soya,14.0,165.0,751.1,1978
Scott Paper,26.4,166.0,746.6,1978
Whittaker,9.5,167.0,744.4,1978
Clark Equipment,29.0,168.0,741.5,1978
AMF,42.6,169.0,740.8,1978
United Merchants & Mfrs.,16.4,170.0,738.4,1978
Gillette,62.4,171.0,729.7,1978
Eli Lilly,96.1,172.0,723.3,1978
Land O'Lakes,N.A.,173.0,721.7,1978
Evans Products,19.0,174.0,717.7,1978
Pet,19.5,175.0,712.1,1978
Quantum Chemical,30.5,176.0,709.8,1978
Phelps Dodge,75.8,177.0,703.6,1978
Walter Industries,32.4,178.0,703.1,1978
Kidde,27.2,179.0,702.9,1978
GAF,13.5,180.0,699.0,1978
Pillsbury,9.3,181.0,696.7,1978
White Consolidated Industries,22.5,182.0,694.3,1978
Pullman,11.5,183.0,693.7,1978
Avco,28.4,184.0,687.3,1978
Hormel Foods,16.7,185.0,686.5,1978
Manville,42.7,186.0,685.1,1978
Quaker Oats,24.2,187.0,678.7,1978
Kellogg,55.1,188.0,677.1,1978
Agway,N.A.,189.0,668.5,1978
Farmland Industries,N.A.,190.0,668.1,1978
McGraw-Edison,26.3,191.0,663.4,1978
Archer Daniels Midland,12.2,192.0,659.8,1978
Asarco,46.0,193.0,656.8,1978
Emerson Electric,56.1,194.0,656.4,1978
Sterling Drug,63.1,195.0,652.4,1978
Oscar Mayer,22.4,196.0,651.7,1978
Coltec Industries,12.7,197.0,636.7,1978
Carrier,26.8,198.0,636.0,1978
Dana,28.2,199.0,632.9,1978
Magnavox,34.0,200.0,627.9,1978
Amstar,20.7,201.0,627.9,1978
Anderson Clayton,11.7,202.0,625.0,1978
Zenith Electronics,37.4,203.0,613.1,1978
Time Warner,23.3,204.0,606.8,1978
Northrop Grumman,14.1,205.0,605.1,1978
Corning,33.9,206.0,603.4,1978
Kerr-McGee,40.7,207.0,603.3,1978
Ikon Office Solutions,18.7,208.0,599.2,1978
North American Philips,8.0,209.0,598.8,1978
Koppers,18.7,210.0,598.4,1978
Essex International,30.8,211.0,593.0,1978
Liggett Group,35.9,212.0,586.4,1978
Ethyl,34.9,213.0,577.1,1978
Maxus Energy,25.3,214.0,573.1,1978
Control Data,35.8,215.0,571.2,1978
Diamond International,36.0,216.0,567.2,1978
Fruit of the Loom,47.7,217.0,565.8,1978
Armstrong Holdings,35.5,218.0,564.0,1978
Sherwin-Williams,15.2,219.0,554.7,1978
USG,38.8,220.0,554.4,1978
Budd,5.7,221.0,552.9,1978
Loews,64.9,222.0,552.1,1978
City Investing,57.3,223.0,542.0,1978
Owens Corning,25.2,224.0,536.7,1978
Aeroquip-Vickers,49.5,225.0,530.9,1978
Wheeling Pittsburgh,5.3,226.0,528.0,1978
Container Corp. of America,25.7,227.0,526.6,1978
J.E. Seagram,24.4,228.0,526.1,1978
Polaroid,61.0,229.0,525.5,1978
Jos. Schlitz Brewing,35.2,230.0,522.1,1978
Lever Brothers,11.1,231.0,521.5,1978
Times Mirror,34.9,232.0,518.8,1978
Union Camp,26.1,233.0,518.3,1978
Imcera Group,14.5,234.0,517.6,1978
Paccar,24.4,235.0,514.4,1978
Brunswick,25.7,236.0,514.0,1978
Lear Siegler,6.2,237.0,512.0,1978
Rohm & Haas,29.5,238.0,507.3,1978
Foster Wheeler,6.0,239.0,506.1,1978
Brown Shoe,20.4,240.0,505.7,1978
Akzona,25.7,241.0,505.5,1978
Castle & Cooke,10.1,242.0,501.2,1978
Cluett Peabody,11.7,243.0,499.3,1978
Stauffer Chemical,24.9,244.0,492.8,1978
Cummins,21.5,245.0,492.3,1978
Allegheny International,1.5,246.0,484.0,1978
Fruehauf,19.4,247.0,483.0,1978
Kayser-Roth,9.4,248.0,476.9,1978
Scovill,14.3,249.0,470.2,1978
Kaiser Steel,0.4,250.0,469.9,1978
Universal Leaf Tobacco,8.3,251.0,462.9,1978
Abbott Laboratories,23.4,252.0,458.1,1978
National Gypsum,21.3,253.0,457.6,1978
A.O. Smith,11.0,254.0,456.8,1978
Chromalloy American,16.9,255.0,453.4,1978
Crown Holdings,28.5,256.0,448.4,1978
USM,2.5,257.0,447.9,1978
Indian Head,13.3,258.0,446.1,1978
Eltra,20.6,259.0,444.6,1978
M. Lowenstein,8.9,260.0,444.1,1978
Universal Oil Products,-26.9,261.0,442.1,1978
BOC,19.1,262.0,440.6,1978
Ward Foods,2.1,263.0,439.9,1978
Pharmacia,39.8,264.0,438.4,1978
Schering-Plough,59.2,265.0,436.8,1978
National Can,13.2,266.0,435.9,1978
Sunbeam/Oster,15.3,267.0,434.0,1978
Intl. Multifoods,7.4,268.0,433.6,1978
Westvaco,4.0,269.0,430.9,1978
Di Giorgio,6.8,270.0,426.0,1978
National Industries,7.3,271.0,425.5,1978
