what,count,examples
seemed,2,"Mr. Borgnine's menacing features seemed to disappear when he flashed his trademark gaptoothed smile, and later in life he began to find good-guy roles, like the helpful taxi driver in ''Escape From New York'' (1981) and the title role in ''A Grandpa for Christmas,'' a 2007 television movie.||In interviews, Ms. Horwich seemed better at saying what children's programming should not be."
escape,1,Even Presidents did not escape Mr. Chino's wrath.
say,1,"'It's Highly Reliable' Asked to comment on the efficiency of his test, Dr. Friedman would say: ""It's highly reliable."
know,1,"He evoked a small-town feeling, listeners said, often mentioning his wife, Sally, and their three children, and audiences came to know the Gambling family like neighbors."
stepped,1,"Mr. Hayek stepped down as the Swatch Group's chief executive in 2002 and was succeeded by his son, Nicolas Jr."
spanned,1,"Mrs. Simpson's popularity spanned more than three decades, from the late 1940's through the 1970's."
appeared,6,"After the Ballets Russes, Mr. MacKenzie appeared in summer theaters and in a City Center revival of ""Carousel"" in 1949.||In the Sunday Times interview, she said that at one photo shoot, in his apartment in Cap d'Agde, in the South of France, Mr. Hamilton appeared at the door naked, wearing only a camera around his neck.||Mr. Derrida appeared on the American intellectual landscape at a 1966 conference on the French intellectual movement known as structuralism at Johns Hopkins University, in Baltimore.||Mr. Attles also appeared in ""Do Lord Remember Me,"" ""Jericho-Jim Crow,"" ""Tambourines to Glory,"" ""La Belle Helene,"" ""The Reckoning"" and ""John Henry,"" which starred Paul Robeson.||In 1916, Miss Carey appeared as Princess Katherine in an all-female production of ""Henry V."" She made her professional debut in a revival of ""Mr. Wu"" and went on to play ingenue roles."
turned,1,"Mr. Pappas and his brother, John, turned their father's small Greek grocery in Boston into a liquor and food import distributorship."
set,1,"Mrs. Williamson, who continued to work until earlier this month, helped set up the foundation in 1980 and became a leader of the community-foundation movement in the United States."
visited,2,"In 1985 Mr. Hill visited Pakistan, Syria, Hungary and other countries to lecture on Twain as part of a United States government program to observe the 150th anniversary of Twain's birth.||In 2014, Mr. Bachman visited the White House to receive a National Medal of Technology and Innovation from President Barack Obama."
gained,2,"Nonetheless, during the 1970's and 1980's, Mr. Derrida's writings and lectures gained him a huge following in major American universities -- in the end, he proved far more influential in the United States than in France.||Elsewhere in Europe, Mr. Derrida's deconstruction philosophy gained earlier and easier acceptance."
cultivated,1,"As a lecturer, Mr. Derrida cultivated charisma and mystery."
performed,1,"At American Sound Studio in Memphis and FAME Studios in Muscle Shoals, Ala., Mr. Jackson and Mr. Love performed with artists including Wilson Pickett, Aretha Franklin and Percy Sledge."
discontinued,2,"In 1991, the family sold the business to Barron Peters, a clothing company in Lowell, Mass., which has since filed for bankruptcy and discontinued the Adele Simpson line.||In 1991, the family sold the business to Barron Peters, a clothing company in Lowell, Mass., which has since filed for bankruptcy and discontinued the Adele Simpson line."
composed,1,"Oskar Eustis, the artistic director of the Public, recalled a night in 2007 when an early performance of ''Romeo and Juliet'' -- a Shakespeare in the Park production for which Mr. Friedman had composed music -- was rained out."
Plays,3,Don Shirley Plays Gershwin'' and ''Don Shirley Plays Shirley.''||Don Shirley Plays Gershwin'' and ''Don Shirley Plays Shirley.''||Don Shirley Plays Gershwin'' and ''Don Shirley Plays Shirley.''
owned,2,"Mr. Morris owned Saratoga Raceway from 1963 until he sold it in 1987.||At the time of his death, Mr. Weatherall owned an oil-well servicing company in Oklahoma City."
contended,1,Mr. Borgnine later contended that Ms. Merman left because she was upset that on an international honeymoon trip he was recognized and she wasn't.
picketed,1,"As the leader of the Interreligious Task Force, which was established in 1972 to press the Soviet Union to let Jews emigrate without restrictions, Sister Ann picketed Soviet embassies throughout the world and petitioned leaders in Washington and at the United Nations in New York."
began,7,"Mr. Warren, who was born in Harrodsburg, Ky., began his television career in Toronto, where he was the producer and director in charge of variety programming for the Canadian Broadcasting Corporation.||It was in France that Mr. Hamilton, who had no formal training in the field, began photographing commercially.||Ms. Kogelnik, who was born in Bleiburg in 1935 and studied art at the Vienna Academy of Fine Arts, began her career as a member of a circle of artists that included Arnulf Rainer, to whom she was once briefly engaged.||What began 14 years ago as a narrowly economic summit meeting was leavened this year by politics - to everyone's benefit.||Mrs. Lewis began working at Trains magazine in Milwaukee before World War II."
show,1,"In The New York Times in 1969, Hilton Kramer said Mr. Brandt's portraits of the writers Robert Graves and Dylan Thomas and the painter Francis Bacon, among others, ''show us figures and faces almost unbearably vulnerable.''"
be,1,"Mr. Chino's positions could also be unpopular: he split with New Mexico Indian leaders last year, refusing to honor a gambling revenue-sharing agreement with the state."
started,2,"Mr. Schafler, who was born in the Bronx, started Condec in 1942 and built it into a $350 million public company based in Old Greenwich.||Raymond Weil, who died at 87 on Jan. 26 in the Swiss city of Calvin, started a watch company that bore his name in the midst of all that, joining a watchmaking vanguard that saved the nation's signature product by redefining it."
identified,1,"On Nov. 18, after Ms. Flament said she was contacted by several former models who made similar allegations, she identified Mr. Hamilton by name."
helped,3,"Stan Stearns, whose iconic photograph of John F. Kennedy Jr. saluting his father's coffin on Nov. 25, 1963, helped encapsulate a nation's grief, died Friday at a hospice near Annapolis, Md.||Stan Stearns, whose iconic photograph of John F. Kennedy Jr. saluting his father's coffin on Nov. 25, 1963, helped encapsulate a nation's grief, died Friday at a hospice near Annapolis, Md.||As chairman of The Daily Princetonian, Princeton's undergraduate newspaper, during the 1942-43 school year, Mr. Broderick helped to lead the movement there to reverse Princeton's unofficial ban on admitting black undergraduates."
reassembled,1,"Standard Oil never asked, but in 1981 Mr. Shearing reassembled the quintet for a Boston engagement and a series of Carnegie Hall concerts as Mr. Sinatra's opening act."
playing,1,"His father, Edwin, was an Episcopal priest, and family lore has it that young Donald was playing the organ in church at age 3."
maintained,1,Mr. Galy carefully maintained the lycee's traditions and high level of education.
expanded,1,"Ms. Bandy, who became director of MoMA's film department in 1980 and its chief curator in 1994, greatly expanded the museum's film collection and oversaw the construction of an $11.2 million preservation center for the archive in Pennsylvania."
dominated,3,"Swiss watch companies had dominated the world of precision timekeeping for two centuries by the 1970s, when a technological marvel known as the quartz watch -- a cheaper, more accurate work of horology mass-produced in Asia -- threatened them with extinction.||Swiss watch companies had dominated the world of precision timekeeping for two centuries by the 1970s, when a technological marvel known as the quartz watch -- a cheaper, more accurate work of horology mass-produced in Asia -- threatened them with extinction.||Swiss watch companies had dominated the world of precision timekeeping for two centuries by the 1970s, when a technological marvel known as the quartz watch -- a cheaper, more accurate work of horology mass-produced in Asia -- threatened them with extinction."
directed,2,"Beginning with ""Bilitis"" in 1977, Mr. Hamilton directed five erotic movies that largely centered on blossoming sexuality in flower-crowned girls.||Mr. Gallagher also directed the revue's national touring company, as well as productions in Washington, Chicago, Toronto and Japan."
attempting,1,"In 1977, during a court battle in which Mr. Chino was attempting to secure sole control of Mescalero Apache natural resources, he described the problem: ""The white man has raped this land and now he wastes the six million acres of Indian land in this state."""
ended,1,Mr. Jackson's first marriage ended in divorce.
discovered,1,"Born in Trenton, N.J., Mr. Hamilton discovered dance in his 20's when he got a job cleaning at the Perry-Mansfield Performing Arts Camp in Steamboat Springs, Colo."
reading,1,"For example, ''Glas'' (1974) offers commentaries on the German philosopher Georg Wilhelm Friedrich Hegel and the French novelist Jean Genet in parallel columns of the book's pages; in between, there is an occasional third column of commentary about the two men's ideas. ''The trouble with reading Mr. Derrida is that there is too much perspiration for too little inspiration,'' editorialized The Economist in 1992, when Cambridge University awarded the philosopher an honorary degree after a bruising argument among his supporters and critics on the faculty."
renew,1,"As those contracts expired, Mr. Chino did not renew them, instead creating lumber and cattle companies controlled by the impoverished tribe."
